"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",38,153,547,92,"TB",0.7948,"spotrac",0.991,1.24685455460493,1,"Undervalued"
"Sal Stewart",31,147,549,107,"CIN",0.7815,"spotrac",0.875,1.11964171465131,0.998015873015873,"Undervalued"
"Yandy Díaz",21,167,548,77,NA,0.72,"league_minimum_default",0.795,1.10416666666667,0.996031746031746,"Undervalued"
"Luis García Jr.",28,131,461,88,NA,0.72,"league_minimum_default",0.785,1.09027777777778,0.994047619047619,"Undervalued"
"Jordan Walker",28,156,549,100,"STL",0.7994,"spotrac",0.86,1.07580685514136,0.992063492063492,"Undervalued"
"Ben Rice",36,133,513,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.990079365079365,"Undervalued"
"Hunter Goodman",36,114,458,76,"COL",0.81,"spotrac",0.846,1.04444444444444,0.988095238095238,"Undervalued"
"Miguel Vargas",30,132,523,79,"CHW",0.8057,"spotrac",0.816,1.01278391460841,0.986111111111111,"Undervalued"
"James Wood",30,121,452,74,"WSH",0.8069,"spotrac",0.783,0.970380468459536,0.984126984126984,"Undervalued"
"Colson Montgomery",31,108,510,82,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.982142857142857,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.98015873015873,"Undervalued"
"Julio Rodríguez",20,127,528,61,NA,0.72,"league_minimum_default",0.661,0.918055555555556,0.978174603174603,"Undervalued"
"Elly De La Cruz",23,137,490,66,"CIN",0.8,"spotrac",0.733,0.91625,0.976190476190476,"Undervalued"
"Wilyer Abreu",23,137,535,70,"BOS",0.81,"spotrac",0.733,0.904938271604938,0.974206349206349,"Undervalued"
"TJ Rumfield",15,146,489,67,NA,0.72,"league_minimum_default",0.648,0.9,0.972222222222222,"Undervalued"
"Brooks Lee",23,128,512,79,"MIN",0.79305,"spotrac",0.706,0.89023390706765,0.970238095238095,"Undervalued"
"Jonathan Aranda",19,147,526,86,"TB",0.7964,"spotrac",0.707,0.88774485183325,0.968253968253968,"Undervalued"
"Daylen Lile",20,139,543,82,"WSH",0.786,"spotrac",0.697,0.88676844783715,0.966269841269841,"Undervalued"
"Dillon Dingler",26,124,502,83,"DET",0.8349,"spotrac",0.736,0.881542699724518,0.964285714285714,"Undervalued"
"Drake Baldwin",22,132,474,69,"ATL",0.8,"spotrac",0.704,0.88,0.962301587301587,"Undervalued"
"Iván Herrera",16,136,542,64,NA,0.72,"league_minimum_default",0.632,0.877777777777778,0.96031746031746,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.958333333333333,"Undervalued"
"Carson Benge",16,143,519,54,"NYM",0.78,"spotrac",0.653,0.837179487179487,0.956349206349206,"Undervalued"
"Kody Clemens",24,110,463,71,"MIN",0.8039,"spotrac",0.666,0.828461251399428,0.954365079365079,"Undervalued"
"Heriberto Hernández",24,86,374,63,NA,0.72,"league_minimum_default",0.594,0.825,0.952380952380952,"Undervalued"
"Jazz Chisholm Jr.",19,105,457,55,NA,0.72,"league_minimum_default",0.581,0.806944444444444,0.950396825396825,"Undervalued"
"Carter Jensen",22,107,466,67,"KC",0.78115,"spotrac",0.629,0.805223068552775,0.948412698412698,"Undervalued"
"Otto Lopez",10,169,560,63,"MIA",0.8105,"spotrac",0.647,0.798272671190623,0.946428571428571,"Undervalued"
"Mauricio Dubón",11,135,505,66,NA,0.72,"league_minimum_default",0.559,0.776388888888889,0.944444444444444,"Undervalued"
"Liam Hicks",17,125,434,76,"TB",0.79,"spotrac",0.613,0.775949367088608,0.942460317460317,"Undervalued"
"Cole Young",16,127,519,58,"SEA",0.7861,"spotrac",0.605,0.769622185472586,0.94047619047619,"Undervalued"
"Dominic Canzone",21,103,405,64,"SEA",0.7966,"spotrac",0.603,0.756967110218428,0.938492063492063,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.936507936507937,"Undervalued"
"Jeremy Peña",17,101,373,46,NA,0.72,"league_minimum_default",0.541,0.751388888888889,0.93452380952381,"Undervalued"
"Eugenio Suárez",21,80,383,62,NA,0.72,"league_minimum_default",0.534,0.741666666666667,0.932539682539683,"Undervalued"
"Michael Busch",18,128,542,70,"CHC",0.86,"spotrac",0.636,0.73953488372093,0.930555555555556,"Undervalued"
"Chase DeLauter",13,131,445,60,"CLE",0.78,"spotrac",0.575,0.737179487179487,0.928571428571429,"Undervalued"
"Chase Meidroth",12,137,507,51,"CHW",0.7891,"spotrac",0.579,0.733747307058674,0.926587301587302,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.924603174603175,"Undervalued"
"Tristan Peters",12,111,390,53,NA,0.72,"league_minimum_default",0.501,0.695833333333333,0.922619047619048,"Undervalued"
"Kyle Stowers",19,97,391,60,"MIA",0.8042,"spotrac",0.557,0.692613777667247,0.920634920634921,"Undervalued"
"Nick Gonzales",6,154,504,59,"PIT",0.8016,"spotrac",0.546,0.681137724550898,0.918650793650794,"Undervalued"
