"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",41,161,581,96,"TB",0.7948,"spotrac",1.057,1.32989431303473,1,"Undervalued"
"Sal Stewart",32,159,587,109,"CIN",0.7815,"spotrac",0.925,1.18362124120282,0.998050682261209,"Undervalued"
"Luis García Jr.",30,140,494,91,NA,0.72,"league_minimum_default",0.84,1.16666666666667,0.996101364522417,"Undervalued"
"Yandy Díaz",22,173,587,81,NA,0.72,"league_minimum_default",0.827,1.14861111111111,0.994152046783626,"Undervalued"
"Ben Rice",38,142,542,92,"NYY",0.8458,"spotrac",0.958,1.13265547410735,0.992202729044834,"Undervalued"
"Hunter Goodman",38,118,482,81,"COL",0.81,"spotrac",0.886,1.09382716049383,0.990253411306043,"Undervalued"
"Jordan Walker",28,160,575,100,"STL",0.7994,"spotrac",0.872,1.09081811358519,0.988304093567251,"Undervalued"
"Miguel Vargas",31,139,561,84,"CHW",0.8057,"spotrac",0.851,1.05622440114186,0.98635477582846,"Undervalued"
"Elly De La Cruz",28,150,528,74,"CIN",0.8,"spotrac",0.842,1.0525,0.984405458089669,"Undervalued"
"James Wood",30,127,479,75,"WSH",0.8069,"spotrac",0.801,0.992688065435618,0.982456140350877,"Undervalued"
"Julio Rodríguez",21,137,564,66,NA,0.72,"league_minimum_default",0.705,0.979166666666667,0.980506822612086,"Undervalued"
"Drake Baldwin",24,143,515,77,"ATL",0.8,"spotrac",0.765,0.95625,0.978557504873294,"Undervalued"
"Colson Montgomery",31,109,536,84,"CHW",0.7985,"spotrac",0.761,0.953036944270507,0.976608187134503,"Undervalued"
"Jonathan Aranda",21,154,554,90,"TB",0.7964,"spotrac",0.756,0.949271722752386,0.974658869395711,"Undervalued"
"Wilyer Abreu",24,144,567,74,"BOS",0.81,"spotrac",0.768,0.948148148148148,0.97270955165692,"Undervalued"
"TJ Rumfield",15,156,518,69,NA,0.72,"league_minimum_default",0.678,0.941666666666667,0.970760233918129,"Undervalued"
"Jac Caglianone",23,134,484,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.968810916179337,"Undervalued"
"Brooks Lee",23,136,548,81,"MIN",0.79305,"spotrac",0.73,0.92049681608978,0.966861598440546,"Undervalued"
"Daylen Lile",21,143,569,85,"WSH",0.786,"spotrac",0.723,0.919847328244275,0.964912280701754,"Undervalued"
"Dillon Dingler",27,128,529,88,"DET",0.8349,"spotrac",0.762,0.912684153790873,0.962962962962963,"Undervalued"
"Kody Clemens",26,121,501,76,"MIN",0.8039,"spotrac",0.727,0.904341335987063,0.961013645224172,"Undervalued"
"Carson Benge",18,151,559,58,"NYM",0.78,"spotrac",0.705,0.903846153846154,0.95906432748538,"Undervalued"
"Iván Herrera",16,138,570,65,NA,0.72,"league_minimum_default",0.638,0.886111111111111,0.957115009746589,"Undervalued"
"Carter Jensen",24,117,498,75,"KC",0.78115,"spotrac",0.687,0.879472572489278,0.955165692007797,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.953216374269006,"Undervalued"
