"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,138,499,84,"TB",0.7948,"spotrac",0.904,1.13739305485657,1,"Undervalued"
"Jordan Walker",27,144,499,96,"STL",0.7994,"spotrac",0.81,1.01325994495872,0.997959183673469,"Undervalued"
"Yandy Díaz",19,152,498,72,NA,0.72,"league_minimum_default",0.722,1.00277777777778,0.995918367346939,"Undervalued"
"Sal Stewart",27,133,506,98,"CIN",0.7815,"spotrac",0.777,0.994241842610365,0.993877551020408,"Undervalued"
"Luis García Jr.",26,116,419,82,NA,0.72,"league_minimum_default",0.712,0.988888888888889,0.991836734693878,"Undervalued"
"Ben Rice",34,116,465,82,"NYY",0.8458,"spotrac",0.824,0.974225585244739,0.989795918367347,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.987755102040816,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.985714285714286,"Undervalued"
"Miguel Vargas",29,117,476,74,"CHW",0.8057,"spotrac",0.757,0.939555665880601,0.983673469387755,"Undervalued"
"Julio Rodríguez",20,119,477,56,NA,0.72,"league_minimum_default",0.637,0.884722222222222,0.981632653061224,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.979591836734694,"Undervalued"
"Dillon Dingler",26,117,462,82,"DET",0.8349,"spotrac",0.715,0.856389986824769,0.977551020408163,"Undervalued"
"Jac Caglianone",22,120,434,60,"KC",0.784,"spotrac",0.668,0.852040816326531,0.975510204081633,"Undervalued"
"Colson Montgomery",27,99,469,72,"CHW",0.7985,"spotrac",0.675,0.84533500313087,0.973469387755102,"Undervalued"
"Wilyer Abreu",22,125,488,69,"BOS",0.81,"spotrac",0.683,0.84320987654321,0.971428571428571,"Undervalued"
"Elly De La Cruz",21,117,447,58,"CIN",0.8,"spotrac",0.645,0.80625,0.969387755102041,"Undervalued"
"Drake Baldwin",21,113,422,63,"ATL",0.8,"spotrac",0.633,0.79125,0.96734693877551,"Undervalued"
"Carson Benge",16,131,472,53,"NYM",0.78,"spotrac",0.617,0.791025641025641,0.96530612244898,"Undervalued"
"TJ Rumfield",13,129,449,60,NA,0.72,"league_minimum_default",0.569,0.790277777777778,0.963265306122449,"Undervalued"
"Jonathan Aranda",16,135,483,78,"TB",0.7964,"spotrac",0.629,0.7898041185334,0.961224489795918,"Undervalued"
"Brooks Lee",20,115,466,69,"MIN",0.79305,"spotrac",0.625,0.788096589117962,0.959183673469388,"Undervalued"
"Iván Herrera",14,119,491,53,NA,0.72,"league_minimum_default",0.553,0.768055555555555,0.957142857142857,"Undervalued"
