"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",34,124,448,74,NA,0.72,"league_minimum_default",0.848,1.17777777777778,1,"Undervalued"
"Hunter Goodman",34,103,407,69,NA,0.72,"league_minimum_default",0.785,1.09027777777778,0.997881355932203,"Undervalued"
"Ben Rice",32,108,420,75,NA,0.72,"league_minimum_default",0.772,1.07222222222222,0.995762711864407,"Undervalued"
"CJ Abrams",28,126,439,89,NA,0.72,"league_minimum_default",0.77,1.06944444444444,0.99364406779661,"Undervalued"
"James Wood",30,116,437,73,NA,0.72,"league_minimum_default",0.768,1.06666666666667,0.991525423728814,"Undervalued"
"Max Muncy",27,127,532,76,NA,0.72,"league_minimum_default",0.759,1.05416666666667,0.989406779661017,"Undervalued"
"Jordan Walker",23,128,449,83,NA,0.72,"league_minimum_default",0.706,0.980555555555556,0.98728813559322,"Undervalued"
"Dillon Dingler",26,113,415,80,NA,0.72,"league_minimum_default",0.703,0.976388888888889,0.985169491525424,"Undervalued"
"Sal Stewart",25,113,444,87,NA,0.72,"league_minimum_default",0.689,0.956944444444445,0.983050847457627,"Undervalued"
"Brandon Lowe",25,111,439,74,NA,0.72,"league_minimum_default",0.683,0.948611111111111,0.980932203389831,"Undervalued"
"Michael Harris II",20,126,431,67,NA,0.72,"league_minimum_default",0.658,0.913888888888889,0.978813559322034,"Undervalued"
"Luis García Jr.",24,105,376,78,NA,0.72,"league_minimum_default",0.651,0.904166666666667,0.976694915254237,"Undervalued"
"Alec Burleson",19,128,450,81,NA,0.72,"league_minimum_default",0.65,0.902777777777778,0.974576271186441,"Undervalued"
"Miguel Vargas",24,101,430,67,NA,0.72,"league_minimum_default",0.639,0.8875,0.972457627118644,"Undervalued"
"Andy Pages",19,123,455,76,NA,0.72,"league_minimum_default",0.635,0.881944444444445,0.970338983050847,"Undervalued"
"Colson Montgomery",26,90,418,68,NA,0.72,"league_minimum_default",0.634,0.880555555555556,0.968220338983051,"Undervalued"
"Yandy Díaz",16,134,443,67,NA,0.72,"league_minimum_default",0.626,0.869444444444444,0.966101694915254,"Undervalued"
"Kazuma Okamoto",24,96,427,70,NA,0.72,"league_minimum_default",0.624,0.866666666666667,0.963983050847458,"Undervalued"
"Ozzie Albies",19,118,458,63,NA,0.72,"league_minimum_default",0.62,0.861111111111111,0.961864406779661,"Undervalued"
"Shea Langeliers",23,99,376,51,NA,0.72,"league_minimum_default",0.619,0.859722222222222,0.959745762711864,"Undervalued"
"Christian Walker",22,102,428,67,NA,0.72,"league_minimum_default",0.614,0.852777777777778,0.957627118644068,"Undervalued"
"Wilyer Abreu",20,111,438,63,NA,0.72,"league_minimum_default",0.613,0.851388888888889,0.955508474576271,"Undervalued"
"Jac Caglianone",21,106,398,52,NA,0.72,"league_minimum_default",0.612,0.85,0.953389830508475,"Undervalued"
"Casey Schmitt",21,105,387,55,NA,0.72,"league_minimum_default",0.609,0.845833333333333,0.951271186440678,"Undervalued"
"Elly De La Cruz",20,105,387,54,NA,0.72,"league_minimum_default",0.595,0.826388888888889,0.949152542372881,"Undervalued"
"Ceddanne Rafaela",15,128,446,61,NA,0.72,"league_minimum_default",0.594,0.825,0.947033898305085,"Undervalued"
"Zach Neto",20,103,462,51,NA,0.72,"league_minimum_default",0.589,0.818055555555556,0.944915254237288,"Undervalued"
"Drake Baldwin",20,102,376,60,NA,0.72,"league_minimum_default",0.586,0.813888888888889,0.942796610169492,"Undervalued"
"Jake Bauers",21,97,358,67,NA,0.72,"league_minimum_default",0.585,0.8125,0.940677966101695,"Undervalued"
"Jonathan Aranda",15,124,431,73,NA,0.72,"league_minimum_default",0.582,0.808333333333333,0.938559322033898,"Undervalued"
"Brice Turang",16,119,441,74,NA,0.72,"league_minimum_default",0.581,0.806944444444444,0.936440677966102,"Undervalued"
"Julio Rodríguez",18,109,422,51,NA,0.72,"league_minimum_default",0.579,0.804166666666667,0.934322033898305,"Undervalued"
"Munetaka Murakami",26,70,295,54,NA,0.72,"league_minimum_default",0.574,0.797222222222222,0.932203389830508,"Undervalued"
"Brandon Marsh",16,116,423,52,NA,0.72,"league_minimum_default",0.572,0.794444444444444,0.930084745762712,"Undervalued"
"Riley Greene",16,115,422,54,NA,0.72,"league_minimum_default",0.569,0.790277777777778,0.927966101694915,"Undervalued"
"Otto Lopez",9,147,462,53,NA,0.72,"league_minimum_default",0.567,0.7875,0.925847457627119,"Undervalued"
"Nick Kurtz",21,90,352,69,NA,0.72,"league_minimum_default",0.564,0.783333333333333,0.923728813559322,"Undervalued"
"Jake Burger",19,99,417,68,NA,0.72,"league_minimum_default",0.563,0.781944444444444,0.921610169491525,"Undervalued"
"Spencer Torkelson",20,92,405,59,NA,0.72,"league_minimum_default",0.556,0.772222222222222,0.919491525423729,"Undervalued"
"Gunnar Henderson",18,101,477,47,NA,0.72,"league_minimum_default",0.555,0.770833333333333,0.917372881355932,"Undervalued"
"Ian Happ",20,91,421,51,NA,0.72,"league_minimum_default",0.553,0.768055555555555,0.915254237288136,"Undervalued"
"TJ Rumfield",13,122,414,59,NA,0.72,"league_minimum_default",0.548,0.761111111111111,0.913135593220339,"Undervalued"
"Kody Clemens",20,89,385,55,NA,0.72,"league_minimum_default",0.547,0.759722222222222,0.911016949152542,"Undervalued"
"Josh Bell",16,107,424,71,NA,0.72,"league_minimum_default",0.545,0.756944444444445,0.908898305084746,"Undervalued"
"Brooks Lee",17,102,421,61,NA,0.72,"league_minimum_default",0.544,0.755555555555556,0.906779661016949,"Undervalued"
"Daylen Lile",15,111,450,61,NA,0.72,"league_minimum_default",0.543,0.754166666666667,0.904661016949153,"Undervalued"
"Cole Young",14,115,434,52,NA,0.72,"league_minimum_default",0.541,0.751388888888889,0.902542372881356,"Undervalued"
"Jo Adell",16,104,445,62,NA,0.72,"league_minimum_default",0.536,0.744444444444444,0.900423728813559,"Undervalued"
"Randy Arozarena",14,113,409,49,NA,0.72,"league_minimum_default",0.535,0.743055555555556,0.898305084745763,"Undervalued"
"Carson Benge",13,116,430,47,NA,0.72,"league_minimum_default",0.53,0.736111111111111,0.896186440677966,"Undervalued"
"Michael Busch",14,111,448,63,NA,0.72,"league_minimum_default",0.529,0.734722222222222,0.891949152542373,"Undervalued"
"Ryan O'Hearn",17,97,359,69,NA,0.72,"league_minimum_default",0.529,0.734722222222222,0.891949152542373,"Undervalued"
"Isaac Paredes",15,105,414,62,NA,0.72,"league_minimum_default",0.525,0.729166666666667,0.885593220338983,"Undervalued"
"Liam Hicks",15,105,372,68,NA,0.72,"league_minimum_default",0.525,0.729166666666667,0.885593220338983,"Undervalued"
"Joc Pederson",21,77,310,44,NA,0.72,"league_minimum_default",0.525,0.729166666666667,0.885593220338983,"Undervalued"
"Jake McCarthy",13,114,372,67,NA,0.72,"league_minimum_default",0.524,0.727777777777778,0.883474576271186,"Undervalued"
"Iván Herrera",13,112,445,50,NA,0.72,"league_minimum_default",0.518,0.719444444444444,0.88135593220339,"Undervalued"
"Ernie Clement",9,128,451,39,NA,0.72,"league_minimum_default",0.51,0.708333333333333,0.879237288135593,"Undervalued"
"Salvador Perez",16,92,430,49,NA,0.72,"league_minimum_default",0.5,0.694444444444444,0.877118644067797,"Undervalued"
"Luis Arraez",5,143,452,48,NA,0.72,"league_minimum_default",0.499,0.693055555555556,0.875,"Undervalued"
"Chase Meidroth",11,114,416,46,NA,0.72,"league_minimum_default",0.496,0.688888888888889,0.870762711864407,"Undervalued"
"Ty France",17,86,296,51,NA,0.72,"league_minimum_default",0.496,0.688888888888889,0.870762711864407,"Undervalued"
"Mickey Moniak",19,76,277,52,NA,0.72,"league_minimum_default",0.494,0.686111111111111,0.86864406779661,"Undervalued"
"JJ Bleday",20,71,315,47,NA,0.72,"league_minimum_default",0.493,0.684722222222222,0.866525423728814,"Undervalued"
"Ezequiel Duran",13,103,380,64,NA,0.72,"league_minimum_default",0.491,0.681944444444444,0.864406779661017,"Undervalued"
"Carter Jensen",16,88,390,55,NA,0.72,"league_minimum_default",0.488,0.677777777777778,0.86228813559322,"Undervalued"
