"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",19,59,231,29,"MIN",14.285714,0.443,0.0310100006202,"Overvalued"
"Yordan Alvarez",22,77,243,48,"HOU",19.166667,0.539,0.0281217386413611,"Overvalued"
"Tyler Soderstrom",11,56,235,36,"ATH",12.285714,0.322,0.0262093029351001,"Overvalued"
"Corbin Carroll",11,66,233,33,"ARI",13.875,0.352,0.0253693693693694,"Overvalued"
"Matt Olson",19,71,262,50,"ATL",21,0.479,0.0228095238095238,"Overvalued"
"Bryan Reynolds",7,63,236,40,"PIT",13.34375,0.287,0.0215081967213115,"Overvalued"
"Willson Contreras",13,64,222,39,"BOS",17.5,0.374,0.0213714285714286,"Overvalued"
"Ronald Acuña Jr.",7,49,195,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Jackson Chourio",5,40,133,19,"MIL",10.25,0.19,0.0185365853658537,"Overvalued"
"Pete Crow-Armstrong",11,63,248,32,"CHC",19.166667,0.343,0.0178956518626843,"Overvalued"
"Ketel Marte",11,63,249,40,"ARI",19.416667,0.343,0.0176652357482363,"Overvalued"
"Kyle Schwarber",23,57,243,40,"PHI",30,0.493,0.0164333333333333,"Overvalued"
"Seiya Suzuki",9,48,194,22,"CHC",17,0.27,0.0158823529411765,"Overvalued"
"Josh Naylor",7,65,249,30,"SEA",18.5,0.293,0.0158378378378378,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Jackson Merrill",6,48,238,25,"SD",15,0.228,0.0152,"Overvalued"
"Bryce Harper",14,61,232,37,"PHI",25.384615,0.379,0.0149303032565197,"Overvalued"
"Andrew Benintendi",6,45,191,30,"CHW",15,0.219,0.0146,"Overvalued"
"Jung Hoo Lee",3,77,230,24,"SF",18.833333,0.273,0.0144955754777978,"Overvalued"
"Kevin McGonigle",4,69,241,24,"DET",18.75,0.263,0.0140266666666667,"Overvalued"
"Brandon Nimmo",7,62,245,22,"TEX",20.25,0.284,0.0140246913580247,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Willy Adames",11,63,269,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,264,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"José Ramírez",10,62,257,33,"CLE",25,0.326,0.01304,"Overvalued"
