"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",38,153,545,91,"TB",0.7948,"spotrac",0.991,1.24685455460493,1,"Undervalued"
"Sal Stewart",31,146,545,106,"CIN",0.7815,"spotrac",0.872,1.11580294305822,0.998015873015873,"Undervalued"
"Yandy Díaz",21,165,543,76,NA,0.72,"league_minimum_default",0.789,1.09583333333333,0.996031746031746,"Undervalued"
"Luis García Jr.",28,130,458,88,NA,0.72,"league_minimum_default",0.782,1.08611111111111,0.994047619047619,"Undervalued"
"Jordan Walker",28,156,545,100,"STL",0.7994,"spotrac",0.86,1.07580685514136,0.992063492063492,"Undervalued"
"Ben Rice",36,133,509,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.990079365079365,"Undervalued"
"Hunter Goodman",36,114,457,76,"COL",0.81,"spotrac",0.846,1.04444444444444,0.988095238095238,"Undervalued"
"Miguel Vargas",30,130,518,78,"CHW",0.8057,"spotrac",0.81,1.00533697405982,0.986111111111111,"Undervalued"
"James Wood",30,120,450,74,"WSH",0.8069,"spotrac",0.78,0.96666253563019,0.984126984126984,"Undervalued"
"Colson Montgomery",31,108,506,82,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.982142857142857,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.98015873015873,"Undervalued"
"Julio Rodríguez",20,126,524,61,NA,0.72,"league_minimum_default",0.658,0.913888888888889,0.978174603174603,"Undervalued"
"Wilyer Abreu",23,137,535,70,"BOS",0.81,"spotrac",0.733,0.904938271604938,0.976190476190476,"Undervalued"
"Elly De La Cruz",22,135,486,62,"CIN",0.8,"spotrac",0.713,0.89125,0.974206349206349,"Undervalued"
"TJ Rumfield",15,143,485,66,NA,0.72,"league_minimum_default",0.639,0.8875,0.972222222222222,"Undervalued"
"Jonathan Aranda",19,145,522,85,"TB",0.7964,"spotrac",0.701,0.880210949271723,0.970238095238095,"Undervalued"
"Daylen Lile",20,137,539,82,"WSH",0.786,"spotrac",0.691,0.87913486005089,0.968253968253968,"Undervalued"
"Dillon Dingler",26,123,498,83,"DET",0.8349,"spotrac",0.733,0.877949455024554,0.966269841269841,"Undervalued"
"Drake Baldwin",22,130,469,69,"ATL",0.8,"spotrac",0.698,0.8725,0.964285714285714,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.962301587301587,"Undervalued"
"Iván Herrera",16,133,537,62,NA,0.72,"league_minimum_default",0.623,0.865277777777778,0.96031746031746,"Undervalued"
"Brooks Lee",22,126,509,78,"MIN",0.79305,"spotrac",0.686,0.865014816215875,0.958333333333333,"Undervalued"
"Carson Benge",16,142,515,54,"NYM",0.78,"spotrac",0.65,0.833333333333333,0.956349206349206,"Undervalued"
"Kody Clemens",24,110,460,71,"MIN",0.8039,"spotrac",0.666,0.828461251399428,0.954365079365079,"Undervalued"
"Carter Jensen",22,107,466,67,"KC",0.78115,"spotrac",0.629,0.805223068552775,0.952380952380952,"Undervalued"
