"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,143,511,85,"TB",0.7948,"spotrac",0.919,1.15626572722698,1,"Undervalued"
"Luis García Jr.",28,123,433,87,NA,0.72,"league_minimum_default",0.761,1.05694444444444,0.997971602434077,"Undervalued"
"Sal Stewart",29,136,517,102,"CIN",0.7815,"spotrac",0.814,1.04158669225848,0.995943204868154,"Undervalued"
"Jordan Walker",27,149,514,97,"STL",0.7994,"spotrac",0.825,1.03202401801351,0.993914807302231,"Undervalued"
"Yandy Díaz",20,154,510,74,NA,0.72,"league_minimum_default",0.742,1.03055555555556,0.991886409736308,"Undervalued"
"Hunter Goodman",36,110,430,73,"COL",0.81,"spotrac",0.834,1.02962962962963,0.989858012170385,"Undervalued"
"Ben Rice",35,122,479,83,"NYY",0.8458,"spotrac",0.856,1.01205958855521,0.987829614604463,"Undervalued"
"Miguel Vargas",29,122,487,76,"CHW",0.8057,"spotrac",0.772,0.958173017252079,0.98580121703854,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.983772819472617,"Undervalued"
"Jac Caglianone",23,127,448,66,"KC",0.784,"spotrac",0.703,0.896683673469388,0.981744421906694,"Undervalued"
"Julio Rodríguez",20,121,489,56,NA,0.72,"league_minimum_default",0.643,0.893055555555556,0.979716024340771,"Undervalued"
"Colson Montgomery",28,102,477,76,"CHW",0.7985,"spotrac",0.698,0.874139010644959,0.977687626774848,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.975659229208925,"Undervalued"
"Dillon Dingler",26,119,473,82,"DET",0.8349,"spotrac",0.721,0.863576476224698,0.973630831643002,"Undervalued"
"Wilyer Abreu",22,127,499,69,"BOS",0.81,"spotrac",0.689,0.850617283950617,0.971602434077079,"Undervalued"
"Drake Baldwin",22,121,439,67,"ATL",0.8,"spotrac",0.671,0.83875,0.969574036511156,"Undervalued"
"Brooks Lee",22,119,479,73,"MIN",0.79305,"spotrac",0.665,0.838534770821512,0.967545638945233,"Undervalued"
"Elly De La Cruz",21,124,462,60,"CIN",0.8,"spotrac",0.666,0.8325,0.96551724137931,"Undervalued"
"Daylen Lile",18,130,517,75,"WSH",0.786,"spotrac",0.642,0.816793893129771,0.963488843813387,"Undervalued"
"Carson Benge",16,136,488,54,"NYM",0.78,"spotrac",0.632,0.81025641025641,0.961460446247465,"Undervalued"
"TJ Rumfield",13,133,459,61,NA,0.72,"league_minimum_default",0.581,0.806944444444444,0.959432048681542,"Undervalued"
"Jonathan Aranda",16,138,494,78,"TB",0.7964,"spotrac",0.638,0.801104972375691,0.957403651115619,"Undervalued"
"Iván Herrera",14,123,506,53,NA,0.72,"league_minimum_default",0.565,0.784722222222222,0.955375253549696,"Undervalued"
"Kody Clemens",22,105,437,67,"MIN",0.8039,"spotrac",0.623,0.77497201144421,0.953346855983773,"Undervalued"
"Jazz Chisholm Jr.",18,98,434,53,NA,0.72,"league_minimum_default",0.546,0.758333333333333,0.95131845841785,"Undervalued"
