"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",18,58,226,28,"MIN",14.285714,0.426,0.0298200005964,"Overvalued"
"Yordan Alvarez",22,74,234,48,"HOU",19.166667,0.53,0.0276521734321361,"Overvalued"
"Corbin Carroll",9,64,225,30,"ARI",13.875,0.318,0.0229189189189189,"Overvalued"
"Tyler Soderstrom",8,52,225,30,"ATH",12.285714,0.268,0.0218139539956733,"Overvalued"
"Willson Contreras",13,63,211,38,"BOS",17.5,0.371,0.0212,"Overvalued"
"Matt Olson",17,69,254,47,"ATL",21,0.445,0.0211904761904762,"Overvalued"
"Bryan Reynolds",6,61,229,39,"PIT",13.34375,0.267,0.0200093676814988,"Overvalued"
"Ronald Acuña Jr.",7,49,189,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Pete Crow-Armstrong",11,62,239,32,"CHC",19.166667,0.34,0.017739130126276,"Overvalued"
"Ketel Marte",11,60,240,37,"ARI",19.416667,0.334,0.017201716442889,"Overvalued"
"Kyle Schwarber",23,56,232,40,"PHI",30,0.49,0.0163333333333333,"Overvalued"
"Seiya Suzuki",9,46,186,21,"CHC",17,0.264,0.0155294117647059,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Jackson Chourio",4,33,117,16,"MIL",10.25,0.155,0.0151219512195122,"Overvalued"
"Jackson Merrill",6,45,225,24,"SD",15,0.219,0.0146,"Overvalued"
"Bryce Harper",14,58,223,36,"PHI",25.384615,0.37,0.0145757577966024,"Overvalued"
"Andrew Benintendi",6,44,184,30,"CHW",15,0.216,0.0144,"Overvalued"
"Josh Naylor",6,60,236,25,"SEA",18.5,0.264,0.0142702702702703,"Overvalued"
"Brandon Nimmo",7,59,238,22,"TEX",20.25,0.275,0.0135802469135802,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Jung Hoo Lee",3,70,216,21,"SF",18.833333,0.252,0.0133805312102749,"Overvalued"
"Willy Adames",11,63,256,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,257,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"Kevin McGonigle",3,67,233,21,"DET",18.75,0.243,0.01296,"Overvalued"
"José Ramírez",10,59,244,33,"CLE",25,0.317,0.01268,"Overvalued"
"Freddie Freeman",10,65,234,35,"LAD",27,0.335,0.0124074074074074,"Overvalued"
"Austin Riley",8,50,237,34,"ATL",21.2,0.262,0.0123584905660377,"Overvalued"
"Pete Alonso",13,61,248,40,"BAL",31,0.365,0.0117741935483871,"Overvalued"
"Nico Hoerner",4,63,256,33,"CHC",23.5,0.245,0.0104255319148936,"Overvalued"
"Xander Bogaerts",8,49,217,27,"SD",25.454545,0.259,0.0101750001816964,"Overvalued"
"Cal Raleigh",7,26,161,18,"SEA",17.5,0.176,0.0100571428571429,"Overvalued"
"Marcus Semien",7,51,230,24,"NYM",25,0.251,0.01004,"Overvalued"
"Trea Turner",7,58,257,21,"PHI",27.272727,0.272,0.00997333343306667,"Overvalued"
"Aaron Judge",17,53,214,38,"NYY",40,0.397,0.009925,"Overvalued"
"Mike Trout",14,52,224,31,"LAA",35.541667,0.352,0.00990386860582538,"Overvalued"
"Rafael Devers",8,62,255,32,"SF",31.35,0.298,0.00950558213716108,"Overvalued"
"Matt Chapman",4,57,238,32,"SF",25.166667,0.227,0.00901986743020043,"Overvalued"
"Cody Bellinger",8,60,223,40,"NYY",32.5,0.292,0.00898461538461538,"Overvalued"
"Fernando Tatis Jr.",1,64,234,19,"SD",24.285714,0.206,0.00848235304096886,"Overvalued"
"Manny Machado",11,38,221,32,"SD",31.818182,0.268,0.00842285709472653,"Overvalued"
"Dansby Swanson",7,37,205,28,"CHC",25.285714,0.209,0.00826553681655974,"Overvalued"
"Colt Emerson",4,14,59,9,"SEA",11.875,0.098,0.00825263157894737,"Overvalued"
"Nolan Arenado",8,50,196,30,"ARI",32.5,0.262,0.00806153846153846,"Overvalued"
"Jose Altuve",5,42,169,13,"HOU",25,0.196,0.00784,"Overvalued"
"Alex Bregman",5,64,258,19,"CHC",35,0.262,0.00748571428571429,"Overvalued"
"George Springer",5,36,170,14,"TOR",25,0.178,0.00712,"Overvalued"
"Vladimir Guerrero Jr.",3,66,226,25,"TOR",35.714286,0.24,0.00671999994624,"Overvalued"
"Juan Soto",13,49,175,29,"NYM",51,0.329,0.00645098039215686,"Overvalued"
"Corey Seager",8,30,164,22,"TEX",32.5,0.202,0.00621538461538461,"Overvalued"
"Christian Yelich",4,37,131,20,"MIL",26.928571,0.167,0.00620159161063541,"Overvalued"
"Trevor Story",3,34,165,19,"BOS",23.333333,0.144,0.00617142865959184,"Overvalued"
"Bo Bichette",5,59,256,32,"NYM",42,0.247,0.00588095238095238,"Overvalued"
"Masataka Yoshida",1,30,119,10,"BOS",18,0.104,0.00577777777777778,"Overvalued"
"Roman Anthony",1,25,109,5,"BOS",16.25,0.089,0.00547692307692308,"Overvalued"
"Shohei Ohtani",11,68,227,35,"LAD",70,0.358,0.00511428571428571,"Overvalued"
"Mookie Betts",6,22,120,17,"LAD",30.416667,0.15,0.00493150679527116,"Overvalued"
"Jake Cronenworth",1,14,97,4,"SD",11.428571,0.056,0.00490000018375001,"Overvalued"
"Giancarlo Stanton",3,23,90,14,"NYY",25,0.111,0.00444,"Overvalued"
"Carlos Correa",3,34,122,16,"HOU",33.333333,0.144,0.0043200000432,"Overvalued"
"Kyle Tucker",5,54,225,29,"LAD",60,0.232,0.00386666666666667,"Overvalued"
"Javier Báez",2,20,78,6,"DET",23.333333,0.088,0.00377142862530612,"Overvalued"
"Francisco Lindor",2,21,93,5,"NYM",34.1,0.091,0.00266862170087977,"Overvalued"
