"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,135,489,81,"TB",0.7948,"spotrac",0.895,1.12606945143432,1,"Undervalued"
"Jordan Walker",27,143,491,96,"STL",0.7994,"spotrac",0.807,1.00950713034776,0.997950819672131,"Undervalued"
"Yandy Díaz",19,148,485,72,NA,0.72,"league_minimum_default",0.71,0.986111111111111,0.995901639344262,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.993852459016393,"Undervalued"
"Sal Stewart",27,127,491,96,"CIN",0.7815,"spotrac",0.759,0.971209213051824,0.991803278688525,"Undervalued"
"Ben Rice",34,114,457,80,"NYY",0.8458,"spotrac",0.818,0.967131709624024,0.989754098360656,"Undervalued"
"Luis García Jr.",25,115,413,80,NA,0.72,"league_minimum_default",0.695,0.965277777777778,0.987704918032787,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.985655737704918,"Undervalued"
"Miguel Vargas",29,114,469,74,"CHW",0.8057,"spotrac",0.748,0.928385255057714,0.983606557377049,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.98155737704918,"Undervalued"
"Julio Rodríguez",19,117,464,53,NA,0.72,"league_minimum_default",0.617,0.856944444444445,0.979508196721312,"Undervalued"
"Dillon Dingler",26,115,456,82,"DET",0.8349,"spotrac",0.709,0.849203497424841,0.977459016393443,"Undervalued"
"Jac Caglianone",22,119,430,60,"KC",0.784,"spotrac",0.665,0.848214285714286,0.975409836065574,"Undervalued"
"Colson Montgomery",27,99,456,72,"CHW",0.7985,"spotrac",0.675,0.84533500313087,0.973360655737705,"Undervalued"
"Wilyer Abreu",22,124,475,68,"BOS",0.81,"spotrac",0.68,0.839506172839506,0.971311475409836,"Undervalued"
"Drake Baldwin",21,112,416,63,"ATL",0.8,"spotrac",0.63,0.7875,0.969262295081967,"Undervalued"
"TJ Rumfield",13,128,440,60,NA,0.72,"league_minimum_default",0.566,0.786111111111111,0.967213114754098,"Undervalued"
