"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,125,451,76,"TB",0.7948,"spotrac",0.865,1.08832410669351,1,"Undervalued"
"Hunter Goodman",34,104,411,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.997885835095137,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.995771670190275,"Undervalued"
"Ben Rice",32,108,423,75,"NYY",0.8458,"spotrac",0.772,0.912745329865216,0.993657505285412,"Undervalued"
"Luis García Jr.",24,107,380,78,NA,0.72,"league_minimum_default",0.657,0.9125,0.99154334038055,"Undervalued"
"Yandy Díaz",17,135,448,68,NA,0.72,"league_minimum_default",0.643,0.893055555555556,0.989429175475687,"Undervalued"
"Sal Stewart",25,114,449,87,"CIN",0.7815,"spotrac",0.692,0.885476647472809,0.987315010570824,"Undervalued"
"Jordan Walker",23,128,451,83,"STL",0.7994,"spotrac",0.706,0.883162371778834,0.985200845665962,"Undervalued"
"Dillon Dingler",26,113,419,80,"DET",0.8349,"spotrac",0.703,0.842017008024913,0.983086680761099,"Undervalued"
"Miguel Vargas",25,102,434,68,"CHW",0.8057,"spotrac",0.656,0.814198833312647,0.980972515856237,"Undervalued"
"Julio Rodríguez",18,109,425,51,NA,0.72,"league_minimum_default",0.579,0.804166666666667,0.978858350951374,"Undervalued"
"Andy Pages",19,124,459,76,"LAD",0.8,"spotrac",0.638,0.7975,0.976744186046512,"Undervalued"
"Colson Montgomery",26,90,422,68,"CHW",0.7985,"spotrac",0.634,0.793988728866625,0.974630021141649,"Undervalued"
"Jac Caglianone",21,108,402,53,"KC",0.784,"spotrac",0.618,0.788265306122449,0.972515856236786,"Undervalued"
"Wilyer Abreu",21,112,441,64,"BOS",0.81,"spotrac",0.63,0.777777777777778,0.970401691331924,"Undervalued"
"TJ Rumfield",13,122,415,59,NA,0.72,"league_minimum_default",0.548,0.761111111111111,0.968287526427061,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.966173361522199,"Undervalued"
"Elly De La Cruz",20,106,391,56,"CIN",0.8,"spotrac",0.598,0.7475,0.964059196617336,"Undervalued"
"Drake Baldwin",20,102,379,60,"ATL",0.8,"spotrac",0.586,0.7325,0.961945031712474,"Undervalued"
"Jonathan Aranda",15,124,435,73,"TB",0.7964,"spotrac",0.582,0.730788548468106,0.959830866807611,"Undervalued"
"Iván Herrera",13,112,449,50,NA,0.72,"league_minimum_default",0.518,0.719444444444444,0.957716701902748,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.955602536997886,"Undervalued"
"Otto Lopez",9,148,466,53,"MIA",0.8105,"spotrac",0.57,0.703269586674892,0.953488372093023,"Undervalued"
"Brooks Lee",17,104,425,62,"MIN",0.79305,"spotrac",0.55,0.693524998423807,0.951374207188161,"Undervalued"
"Daylen Lile",15,111,454,61,"WSH",0.786,"spotrac",0.543,0.690839694656488,0.949260042283298,"Undervalued"
