"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",18,58,226,28,"MIN",14.285714,0.426,0.0298200005964,"Overvalued"
"Yordan Alvarez",22,74,234,48,"HOU",19.166667,0.53,0.0276521734321361,"Overvalued"
"Corbin Carroll",9,64,225,30,"ARI",13.875,0.318,0.0229189189189189,"Overvalued"
"Tyler Soderstrom",8,52,225,30,"ATH",12.285714,0.268,0.0218139539956733,"Overvalued"
"Willson Contreras",13,63,211,38,"BOS",17.5,0.371,0.0212,"Overvalued"
"Matt Olson",17,69,254,47,"ATL",21,0.445,0.0211904761904762,"Overvalued"
"Bryan Reynolds",6,61,229,39,"PIT",13.34375,0.267,0.0200093676814988,"Overvalued"
"Ronald Acuña Jr.",7,49,189,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Pete Crow-Armstrong",11,62,239,32,"CHC",19.166667,0.34,0.017739130126276,"Overvalued"
"Ketel Marte",11,60,240,37,"ARI",19.416667,0.334,0.017201716442889,"Overvalued"
"Kyle Schwarber",23,56,232,40,"PHI",30,0.49,0.0163333333333333,"Overvalued"
"Seiya Suzuki",9,46,186,21,"CHC",17,0.264,0.0155294117647059,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Jackson Chourio",4,33,117,16,"MIL",10.25,0.155,0.0151219512195122,"Overvalued"
"Jackson Merrill",6,45,225,24,"SD",15,0.219,0.0146,"Overvalued"
"Bryce Harper",14,58,223,36,"PHI",25.384615,0.37,0.0145757577966024,"Overvalued"
"Andrew Benintendi",6,44,184,30,"CHW",15,0.216,0.0144,"Overvalued"
"Josh Naylor",6,60,236,25,"SEA",18.5,0.264,0.0142702702702703,"Overvalued"
"Brandon Nimmo",7,59,238,22,"TEX",20.25,0.275,0.0135802469135802,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Jung Hoo Lee",3,70,216,21,"SF",18.833333,0.252,0.0133805312102749,"Overvalued"
"Willy Adames",11,63,256,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,257,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"Kevin McGonigle",3,67,233,21,"DET",18.75,0.243,0.01296,"Overvalued"
"José Ramírez",10,59,244,33,"CLE",25,0.317,0.01268,"Overvalued"
