"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",41,162,584,97,"TB",0.7948,"spotrac",1.06,1.33366884750881,1,"Undervalued"
"Sal Stewart",32,160,590,110,"CIN",0.7815,"spotrac",0.928,1.18746001279591,0.998054474708171,"Undervalued"
"Luis García Jr.",30,140,494,91,NA,0.72,"league_minimum_default",0.84,1.16666666666667,0.996108949416342,"Undervalued"
"Ben Rice",39,144,545,94,"NYY",0.8458,"spotrac",0.978,1.1563017261764,0.994163424124514,"Undervalued"
"Yandy Díaz",22,173,590,81,NA,0.72,"league_minimum_default",0.827,1.14861111111111,0.992217898832685,"Undervalued"
"Hunter Goodman",38,119,487,81,"COL",0.81,"spotrac",0.889,1.09753086419753,0.990272373540856,"Undervalued"
"Jordan Walker",28,161,578,100,"STL",0.7994,"spotrac",0.875,1.09457092819615,0.988326848249027,"Undervalued"
"Miguel Vargas",32,141,566,87,"CHW",0.8057,"spotrac",0.871,1.08104753630384,0.986381322957198,"Undervalued"
"Elly De La Cruz",28,152,530,74,"CIN",0.8,"spotrac",0.848,1.06,0.98443579766537,"Undervalued"
"James Wood",30,128,482,76,"WSH",0.8069,"spotrac",0.804,0.996405998264965,0.982490272373541,"Undervalued"
"Julio Rodríguez",21,137,568,66,NA,0.72,"league_minimum_default",0.705,0.979166666666667,0.980544747081712,"Undervalued"
"Drake Baldwin",24,145,519,77,"ATL",0.8,"spotrac",0.771,0.96375,0.978599221789883,"Undervalued"
"Colson Montgomery",31,111,540,87,"CHW",0.7985,"spotrac",0.767,0.960551033187226,0.976653696498054,"Undervalued"
"Jonathan Aranda",21,155,559,91,"TB",0.7964,"spotrac",0.759,0.953038674033149,0.974708171206226,"Undervalued"
"Wilyer Abreu",24,144,572,74,"BOS",0.81,"spotrac",0.768,0.948148148148148,0.972762645914397,"Undervalued"
"TJ Rumfield",15,157,523,69,NA,0.72,"league_minimum_default",0.681,0.945833333333333,0.970817120622568,"Undervalued"
"Brooks Lee",23,138,552,81,"MIN",0.79305,"spotrac",0.736,0.928062543345312,0.968871595330739,"Undervalued"
"Jac Caglianone",23,134,484,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.966926070038911,"Undervalued"
"Daylen Lile",21,143,572,86,"WSH",0.786,"spotrac",0.723,0.919847328244275,0.964980544747082,"Undervalued"
"Dillon Dingler",27,129,532,89,"DET",0.8349,"spotrac",0.765,0.916277398490837,0.963035019455253,"Undervalued"
"Carson Benge",18,153,562,59,"NYM",0.78,"spotrac",0.711,0.911538461538461,0.961089494163424,"Undervalued"
"Kody Clemens",26,121,505,76,"MIN",0.8039,"spotrac",0.727,0.904341335987063,0.959143968871595,"Undervalued"
"Iván Herrera",16,139,574,66,NA,0.72,"league_minimum_default",0.641,0.890277777777778,0.957198443579767,"Undervalued"
"Carter Jensen",24,117,502,75,"KC",0.78115,"spotrac",0.687,0.879472572489278,0.955252918287938,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.953307392996109,"Undervalued"
"Heriberto Hernández",24,96,417,64,NA,0.72,"league_minimum_default",0.624,0.866666666666667,0.95136186770428,"Undervalued"
"Jeremy Peña",20,114,413,51,NA,0.72,"league_minimum_default",0.622,0.863888888888889,0.949416342412451,"Undervalued"
"Otto Lopez",10,184,599,69,"MIA",0.8105,"spotrac",0.692,0.853793954349167,0.947470817120623,"Undervalued"
"Mauricio Dubón",11,149,545,70,NA,0.72,"league_minimum_default",0.601,0.834722222222222,0.945525291828794,"Undervalued"
"Eugenio Suárez",24,87,413,69,NA,0.72,"league_minimum_default",0.597,0.829166666666666,0.943579766536965,"Undervalued"
"Cole Young",17,137,555,65,"SEA",0.7861,"spotrac",0.649,0.825594708052411,0.941634241245136,"Undervalued"
"Dominic Canzone",22,115,446,70,"SEA",0.7966,"spotrac",0.653,0.819733868943008,0.939688715953307,"Undervalued"
"Jazz Chisholm Jr.",19,107,461,55,NA,0.72,"league_minimum_default",0.587,0.815277777777778,0.937743190661479,"Undervalued"
"Liam Hicks",18,130,456,81,"TB",0.79,"spotrac",0.642,0.812658227848101,0.93579766536965,"Undervalued"
"Chase Meidroth",14,147,546,56,"CHW",0.7891,"spotrac",0.637,0.807248764415156,0.933852140077821,"Undervalued"
"Ronald Acuña Jr.",19,99,387,51,NA,0.72,"league_minimum_default",0.563,0.781944444444444,0.931906614785992,"Undervalued"
"Michael Busch",19,135,571,76,"CHC",0.86,"spotrac",0.671,0.780232558139535,0.929961089494163,"Undervalued"
"Chase DeLauter",14,135,467,62,"CLE",0.78,"spotrac",0.601,0.77051282051282,0.928015564202335,"Undervalued"
"Coby Mayo",24,89,387,63,"BAL",0.7908,"spotrac",0.603,0.762518968133536,0.926070038910506,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.924124513618677,"Undervalued"
"Teoscar Hernández",15,109,412,63,NA,0.72,"league_minimum_default",0.537,0.745833333333333,0.922178988326848,"Undervalued"
"Cam Smith",20,102,481,54,"HOU",0.8099,"spotrac",0.586,0.723546116804544,0.920233463035019,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.918287937743191,"Undervalued"
"Kyle Stowers",19,102,431,61,"MIA",0.8042,"spotrac",0.572,0.711265854265108,0.916342412451362,"Undervalued"
"Brayan Rocchio",13,128,512,69,"CLE",0.7976,"spotrac",0.566,0.70962888665998,0.914396887159533,"Undervalued"
"Tristan Peters",12,114,419,54,NA,0.72,"league_minimum_default",0.51,0.708333333333333,0.912451361867704,"Undervalued"
"Nick Gonzales",6,161,529,60,"PIT",0.8016,"spotrac",0.567,0.707335329341317,0.910505836575875,"Undervalued"
"Bryce Eldridge",17,104,386,57,"SF",0.78,"spotrac",0.55,0.705128205128205,0.908560311284047,"Undervalued"
"Luke Keaschall",9,140,502,45,"MIN",0.7882,"spotrac",0.546,0.692717584369449,0.906614785992218,"Undervalued"
"Caleb Durbin",13,121,483,64,"BOS",0.796,"spotrac",0.545,0.684673366834171,0.904669260700389,"Undervalued"
"Travis Bazzana",15,105,420,57,"CLE",0.78,"spotrac",0.525,0.673076923076923,0.90272373540856,"Undervalued"
"Angel Martínez",15,89,359,53,NA,0.72,"league_minimum_default",0.477,0.6625,0.900778210116732,"Undervalued"
"José Ramírez",12,103,444,51,NA,0.72,"league_minimum_default",0.477,0.6625,0.898832684824903,"Undervalued"
"José Caballero",14,92,393,51,NA,0.72,"league_minimum_default",0.472,0.655555555555556,0.896887159533074,"Undervalued"
"Zack Gelof",19,90,364,49,"ATH",0.82,"spotrac",0.536,0.653658536585366,0.894941634241245,"Undervalued"
"Chandler Simpson",0,169,549,36,"TB",0.7851,"spotrac",0.507,0.645777607948032,0.892996108949416,"Undervalued"
"Xavier Edwards",6,145,515,52,"MIA",0.804,"spotrac",0.519,0.645522388059702,0.891050583657588,"Undervalued"
"Wyatt Langford",17,93,384,41,"TEX",0.805,"spotrac",0.517,0.64223602484472,0.889105058365759,"Undervalued"
"Javier Sanoja",9,126,429,64,"MIA",0.7915,"spotrac",0.504,0.636765634870499,0.88715953307393,"Undervalued"
"Andrés Giménez",9,109,448,57,NA,0.72,"league_minimum_default",0.453,0.629166666666667,0.885214007782101,"Undervalued"
"Jakob Marsee",11,112,492,39,"MIA",0.786,"spotrac",0.49,0.623409669211196,0.883268482490272,"Undervalued"
"Sam Antonacci",8,122,453,45,"CHW",0.78,"spotrac",0.478,0.612820512820513,0.881322957198444,"Undervalued"
"Kyle Karros",12,100,386,48,"COL",0.782,"spotrac",0.468,0.59846547314578,0.879377431906615,"Undervalued"
"Henry Bolte",11,104,380,34,"ATH",0.78,"spotrac",0.466,0.597435897435897,0.877431906614786,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.875486381322957,"Undervalued"
"A.J. Ewing",10,104,410,40,"NYM",0.78,"spotrac",0.452,0.57948717948718,0.873540856031128,"Undervalued"
"Nathan Church",10,103,408,50,"STL",0.78215,"spotrac",0.449,0.574058684395576,0.8715953307393,"Undervalued"
"Nathan Lukes",10,105,385,37,"TOR",0.8085,"spotrac",0.455,0.562770562770563,0.869649805447471,"Undervalued"
"Jacob Young",10,100,404,47,"WSH",0.7942,"spotrac",0.44,0.554016620498615,0.867704280155642,"Undervalued"
"Vaughn Grissom",11,92,389,65,"LAA",0.8,"spotrac",0.43,0.5375,0.865758754863813,"Undervalued"
"Griffin Conine",16,65,257,38,"MIA",0.786,"spotrac",0.419,0.533078880407125,0.863813229571984,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.861867704280156,"Undervalued"
"Garrett Mitchell",11,116,434,65,"MIL",0.95,"spotrac",0.502,0.528421052631579,0.859922178988327,"Undervalued"
"Heliot Ramos",11,90,373,42,"NYY",0.81,"spotrac",0.424,0.523456790123457,0.857976653696498,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.856031128404669,"Undervalued"
"Esmerlyn Valdez",17,56,241,47,"PIT",0.78,"spotrac",0.406,0.52051282051282,0.85408560311284,"Undervalued"
"Joey Ortiz",9,95,353,46,"MIL",0.7904,"spotrac",0.411,0.51998987854251,0.852140077821012,"Undervalued"
"Spencer Horwitz",10,91,367,46,"PIT",0.802,"spotrac",0.413,0.514962593516209,0.850194552529183,"Undervalued"
"Brett Baty",10,92,401,50,"NYM",0.8115,"spotrac",0.416,0.512630930375847,0.848249027237354,"Undervalued"
"Dylan Crews",12,84,374,42,"WSH",0.82,"spotrac",0.42,0.51219512195122,0.846303501945525,"Undervalued"
"Richie Palacios",10,76,325,52,NA,0.72,"league_minimum_default",0.368,0.511111111111111,0.844357976653696,"Undervalued"
"Jake Mangum",4,116,413,30,"PIT",0.8002,"spotrac",0.404,0.504873781554611,0.842412451361868,"Undervalued"
"Randal Grichuk",13,70,246,39,"CHW",0.78,"spotrac",0.392,0.502564102564103,0.840466926070039,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.83852140077821,"Undervalued"
"Colton Cowser",13,72,326,39,"BAL",0.8015,"spotrac",0.398,0.496568933250156,0.836575875486381,"Undervalued"
"Owen Caissie",14,64,291,58,"MIA",0.7815,"spotrac",0.388,0.496481126039667,0.834630350194553,"Undervalued"
"Cole Carrigg",10,82,302,46,"COL",0.78,"spotrac",0.386,0.494871794871795,0.832684824902724,"Undervalued"
"Ty France",21,123,409,69,"SD",1.35,"spotrac",0.663,0.491111111111111,0.830739299610895,"Undervalued"
"Joe Mack",13,67,289,47,"MIA",0.78,"spotrac",0.383,0.491025641025641,0.828793774319066,"Undervalued"
"Masyn Winn",5,107,454,54,"STL",0.79945,"spotrac",0.391,0.489086246794671,0.826848249027237,"Undervalued"
"Troy Johnston",4,108,387,50,"COL",0.782,"spotrac",0.38,0.485933503836317,0.824902723735409,"Undervalued"
"Hao-Yu Lee",10,78,296,45,"DET",0.78,"spotrac",0.374,0.479487179487179,0.82295719844358,"Undervalued"
"Carlos Cortes",9,82,325,40,"ATH",0.78,"spotrac",0.372,0.476923076923077,0.821011673151751,"Undervalued"
"Jonny DeLuca",9,83,319,44,"TB",0.7893,"spotrac",0.375,0.475104522995059,0.819066147859922,"Undervalued"
"Víctor Mesa Jr.",13,53,209,30,NA,0.72,"league_minimum_default",0.341,0.473611111111111,0.817120622568093,"Undervalued"
"Ezequiel Duran",17,137,511,83,"TEX",1.375,"spotrac",0.649,0.472,0.815175097276265,"Undervalued"
"Drew Gilbert",10,76,328,40,"SF",0.78,"spotrac",0.368,0.471794871794872,0.813229571984436,"Undervalued"
"Justin Crawford",3,107,400,38,"PHI",0.78,"spotrac",0.363,0.465384615384615,0.811284046692607,"Undervalued"
"Jesús Sánchez",8,72,276,35,NA,0.72,"league_minimum_default",0.328,0.455555555555555,0.809338521400778,"Undervalued"
"Brady House",10,72,301,45,"WSH",0.7832,"spotrac",0.356,0.454545454545454,0.807392996108949,"Undervalued"
"Isaac Collins",6,93,425,40,"KC",0.79975,"spotrac",0.363,0.453891841200375,0.805447470817121,"Undervalued"
"Moisés Ballesteros",9,66,290,35,NA,0.72,"league_minimum_default",0.324,0.45,0.803501945525292,"Undervalued"
"Jake McCarthy",15,154,516,82,"COL",1.525,"spotrac",0.672,0.440655737704918,0.801556420233463,"Undervalued"
"Nick Loftin",7,82,354,42,"KC",0.78675,"spotrac",0.344,0.437241817604067,0.799610894941634,"Undervalued"
