"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",39,155,550,93,"TB",0.7948,"spotrac",1.011,1.27201811776548,1,"Undervalued"
"Yandy Díaz",22,169,553,79,NA,0.72,"league_minimum_default",0.815,1.13194444444444,0.998019801980198,"Undervalued"
"Sal Stewart",31,147,556,107,"CIN",0.7815,"spotrac",0.875,1.11964171465131,0.996039603960396,"Undervalued"
"Luis García Jr.",28,133,465,88,NA,0.72,"league_minimum_default",0.791,1.09861111111111,0.994059405940594,"Undervalued"
"Jordan Walker",28,157,557,100,"STL",0.7994,"spotrac",0.863,1.07955966975231,0.992079207920792,"Undervalued"
"Ben Rice",36,133,515,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.99009900990099,"Undervalued"
"Hunter Goodman",37,115,462,78,"COL",0.81,"spotrac",0.863,1.06543209876543,0.988118811881188,"Undervalued"
"Miguel Vargas",30,132,527,79,"CHW",0.8057,"spotrac",0.816,1.01278391460841,0.986138613861386,"Undervalued"
"James Wood",30,122,460,74,"WSH",0.8069,"spotrac",0.786,0.974098401288883,0.984158415841584,"Undervalued"
"Elly De La Cruz",25,141,498,69,"CIN",0.8,"spotrac",0.773,0.96625,0.982178217821782,"Undervalued"
"Colson Montgomery",31,108,514,83,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.98019801980198,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.978217821782178,"Undervalued"
"Julio Rodríguez",20,127,532,61,NA,0.72,"league_minimum_default",0.661,0.918055555555556,0.976237623762376,"Undervalued"
"Wilyer Abreu",23,138,541,70,"BOS",0.81,"spotrac",0.736,0.908641975308642,0.974257425742574,"Undervalued"
"TJ Rumfield",15,147,492,67,NA,0.72,"league_minimum_default",0.651,0.904166666666667,0.972277227722772,"Undervalued"
"Brooks Lee",23,130,520,79,"MIN",0.79305,"spotrac",0.712,0.897799634323182,0.97029702970297,"Undervalued"
"Jonathan Aranda",19,148,530,86,"TB",0.7964,"spotrac",0.71,0.891511803114013,0.968316831683168,"Undervalued"
"Daylen Lile",20,139,550,82,"WSH",0.786,"spotrac",0.697,0.88676844783715,0.966336633663366,"Undervalued"
"Iván Herrera",16,138,550,64,NA,0.72,"league_minimum_default",0.638,0.886111111111111,0.964356435643564,"Undervalued"
"Drake Baldwin",22,133,482,70,"ATL",0.8,"spotrac",0.707,0.88375,0.962376237623762,"Undervalued"
"Dillon Dingler",26,124,506,83,"DET",0.8349,"spotrac",0.736,0.881542699724518,0.96039603960396,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.958415841584158,"Undervalued"
"Kody Clemens",25,112,470,73,"MIN",0.8039,"spotrac",0.686,0.853339967657669,0.956435643564356,"Undervalued"
"Carson Benge",16,144,526,54,"NYM",0.78,"spotrac",0.656,0.841025641025641,0.954455445544554,"Undervalued"
"Heriberto Hernández",24,87,382,63,NA,0.72,"league_minimum_default",0.597,0.829166666666666,0.952475247524752,"Undervalued"
"Jazz Chisholm Jr.",19,107,461,55,NA,0.72,"league_minimum_default",0.587,0.815277777777778,0.95049504950495,"Undervalued"
"Carter Jensen",22,108,473,68,"KC",0.78115,"spotrac",0.632,0.809063560135697,0.948514851485148,"Undervalued"
"Otto Lopez",10,171,568,64,"MIA",0.8105,"spotrac",0.653,0.805675508945096,0.946534653465346,"Undervalued"
"Liam Hicks",18,126,437,78,"TB",0.79,"spotrac",0.63,0.79746835443038,0.944554455445545,"Undervalued"
"Mauricio Dubón",11,136,512,66,NA,0.72,"league_minimum_default",0.562,0.780555555555556,0.942574257425743,"Undervalued"
"Cole Young",16,129,523,58,"SEA",0.7861,"spotrac",0.611,0.777254802188017,0.940594059405941,"Undervalued"
"Eugenio Suárez",22,81,390,63,NA,0.72,"league_minimum_default",0.551,0.765277777777778,0.938613861386139,"Undervalued"
"Dominic Canzone",21,105,410,65,"SEA",0.7966,"spotrac",0.609,0.764499121265378,0.936633663366337,"Undervalued"
"Jeremy Peña",17,102,378,47,NA,0.72,"league_minimum_default",0.544,0.755555555555556,0.934653465346535,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.932673267326733,"Undervalued"
"Michael Busch",18,129,546,71,"CHC",0.86,"spotrac",0.639,0.743023255813953,0.930693069306931,"Undervalued"
"Chase DeLauter",13,131,445,60,"CLE",0.78,"spotrac",0.575,0.737179487179487,0.928712871287129,"Undervalued"
"Chase Meidroth",12,137,510,51,"CHW",0.7891,"spotrac",0.579,0.733747307058674,0.926732673267327,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.924752475247525,"Undervalued"
"Tristan Peters",12,111,393,53,NA,0.72,"league_minimum_default",0.501,0.695833333333333,0.922772277227723,"Undervalued"
"Kyle Stowers",19,97,396,60,"MIA",0.8042,"spotrac",0.557,0.692613777667247,0.920792079207921,"Undervalued"
"Brayan Rocchio",13,121,486,62,"CLE",0.7976,"spotrac",0.545,0.683299899699097,0.918811881188119,"Undervalued"
"Nick Gonzales",6,154,504,59,"PIT",0.8016,"spotrac",0.546,0.681137724550898,0.916831683168317,"Undervalued"
"Teoscar Hernández",13,102,383,56,NA,0.72,"league_minimum_default",0.488,0.677777777777778,0.912871287128713,"Undervalued"
"Ronald Acuña Jr.",16,88,348,45,NA,0.72,"league_minimum_default",0.488,0.677777777777778,0.912871287128713,"Undervalued"
"Coby Mayo",21,79,355,58,"BAL",0.7908,"spotrac",0.531,0.671471927162367,0.910891089108911,"Undervalued"
"Cam Smith",18,97,454,51,"HOU",0.8099,"spotrac",0.543,0.670453142363255,0.908910891089109,"Undervalued"
"Bryce Eldridge",16,95,358,49,"SF",0.78,"spotrac",0.509,0.652564102564103,0.906930693069307,"Undervalued"
"Luke Keaschall",9,129,468,44,"MIN",0.7882,"spotrac",0.513,0.650850038061406,0.904950495049505,"Undervalued"
"Caleb Durbin",12,114,460,62,"BOS",0.796,"spotrac",0.51,0.64070351758794,0.902970297029703,"Undervalued"
"Xavier Edwards",6,141,500,51,"MIA",0.804,"spotrac",0.507,0.630597014925373,0.900990099009901,"Undervalued"
"José Caballero",13,89,379,47,NA,0.72,"league_minimum_default",0.449,0.623611111111111,0.899009900990099,"Undervalued"
"José Ramírez",11,98,414,48,NA,0.72,"league_minimum_default",0.448,0.622222222222222,0.895049504950495,"Undervalued"
"Angel Martínez",14,84,343,50,NA,0.72,"league_minimum_default",0.448,0.622222222222222,0.895049504950495,"Undervalued"
"Andrés Giménez",9,104,425,54,NA,0.72,"league_minimum_default",0.438,0.608333333333333,0.893069306930693,"Undervalued"
"Chandler Simpson",0,158,514,31,"TB",0.7851,"spotrac",0.474,0.603744745892243,0.891089108910891,"Undervalued"
"Wyatt Langford",16,87,355,38,"TEX",0.805,"spotrac",0.485,0.602484472049689,0.889108910891089,"Undervalued"
"Zack Gelof",17,85,334,44,"ATH",0.82,"spotrac",0.493,0.601219512195122,0.887128712871287,"Undervalued"
"Sam Antonacci",8,114,426,43,"CHW",0.78,"spotrac",0.454,0.582051282051282,0.883168316831683,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.883168316831683,"Undervalued"
"Javier Sanoja",8,115,395,57,"MIA",0.7915,"spotrac",0.457,0.577384712571068,0.881188118811881,"Undervalued"
"Travis Bazzana",11,96,393,50,"CLE",0.78,"spotrac",0.442,0.566666666666667,0.879207920792079,"Undervalued"
"Jakob Marsee",9,101,463,33,"MIA",0.786,"spotrac",0.429,0.545801526717557,0.877227722772277,"Undervalued"
"Nathan Lukes",10,99,364,36,"TOR",0.8085,"spotrac",0.437,0.540507111935683,0.875247524752475,"Undervalued"
"Jacob Young",10,96,386,45,"WSH",0.7942,"spotrac",0.428,0.538907076303198,0.873267326732673,"Undervalued"
"Henry Bolte",9,98,353,32,"ATH",0.78,"spotrac",0.42,0.538461538461538,0.871287128712871,"Undervalued"
"Nathan Church",10,93,382,49,"STL",0.78215,"spotrac",0.419,0.535702870293422,0.869306930693069,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.867326732673267,"Undervalued"
"Kyle Karros",10,91,349,44,"COL",0.782,"spotrac",0.413,0.528132992327366,0.865346534653465,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.863366336633663,"Undervalued"
"Heliot Ramos",11,87,358,41,"NYY",0.81,"spotrac",0.415,0.512345679012346,0.861386138613861,"Undervalued"
"Vaughn Grissom",10,89,360,60,"LAA",0.8,"spotrac",0.407,0.50875,0.859405940594059,"Undervalued"
"A.J. Ewing",8,93,377,33,"NYM",0.78,"spotrac",0.391,0.501282051282051,0.857425742574257,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.855445544554455,"Undervalued"
"Esmerlyn Valdez",16,55,236,46,"PIT",0.78,"spotrac",0.389,0.498717948717949,0.853465346534653,"Undervalued"
"Spencer Horwitz",10,86,351,44,"PIT",0.802,"spotrac",0.398,0.496259351620948,0.851485148514851,"Undervalued"
"Brett Baty",10,87,384,49,"NYM",0.8115,"spotrac",0.401,0.494146642020949,0.849504950495049,"Undervalued"
"Jake Mangum",4,112,391,30,"PIT",0.8002,"spotrac",0.392,0.489877530617346,0.847524752475248,"Undervalued"
"Griffin Conine",15,56,225,35,"MIA",0.786,"spotrac",0.378,0.480916030534351,0.845544554455446,"Undervalued"
"Masyn Winn",5,103,436,51,"STL",0.79945,"spotrac",0.379,0.47407592719995,0.843564356435644,"Undervalued"
"Dylan Crews",11,78,349,38,"WSH",0.82,"spotrac",0.388,0.473170731707317,0.841584158415842,"Undervalued"
"Owen Caissie",13,62,286,55,"MIA",0.7815,"spotrac",0.368,0.470889315419066,0.83960396039604,"Undervalued"
"Troy Johnston",4,104,368,48,"COL",0.782,"spotrac",0.368,0.470588235294118,0.837623762376238,"Undervalued"
"Garrett Mitchell",9,107,410,57,"MIL",0.95,"spotrac",0.447,0.470526315789474,0.835643564356436,"Undervalued"
"Colton Cowser",13,65,305,37,"BAL",0.8015,"spotrac",0.377,0.470368059887711,0.833663366336634,"Undervalued"
"Carlos Cortes",9,80,306,40,"ATH",0.78,"spotrac",0.366,0.469230769230769,0.831683168316832,"Undervalued"
