"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",19,59,231,29,"MIN",14.285714,0.443,0.0310100006202,"Overvalued"
"Yordan Alvarez",22,77,243,48,"HOU",19.166667,0.539,0.0281217386413611,"Overvalued"
"Tyler Soderstrom",11,56,235,36,"ATH",12.285714,0.322,0.0262093029351001,"Overvalued"
"Corbin Carroll",11,66,233,33,"ARI",13.875,0.352,0.0253693693693694,"Overvalued"
"Matt Olson",19,71,262,50,"ATL",21,0.479,0.0228095238095238,"Overvalued"
"Bryan Reynolds",7,63,236,40,"PIT",13.34375,0.287,0.0215081967213115,"Overvalued"
"Willson Contreras",13,64,222,39,"BOS",17.5,0.374,0.0213714285714286,"Overvalued"
"Ronald Acuña Jr.",7,49,195,22,"ATL",12.5,0.245,0.0196,"Overvalued"
"Jackson Chourio",5,40,133,19,"MIL",10.25,0.19,0.0185365853658537,"Overvalued"
"Pete Crow-Armstrong",11,63,248,32,"CHC",19.166667,0.343,0.0178956518626843,"Overvalued"
"Ketel Marte",11,63,249,40,"ARI",19.416667,0.343,0.0176652357482363,"Overvalued"
"Kyle Schwarber",23,57,243,40,"PHI",30,0.493,0.0164333333333333,"Overvalued"
"Seiya Suzuki",9,48,194,22,"CHC",17,0.27,0.0158823529411765,"Overvalued"
"Josh Naylor",7,65,249,30,"SEA",18.5,0.293,0.0158378378378378,"Overvalued"
"Will Smith",6,43,173,23,"LAD",14,0.213,0.0152142857142857,"Overvalued"
"Jackson Merrill",6,48,238,25,"SD",15,0.228,0.0152,"Overvalued"
"Bryce Harper",14,61,232,37,"PHI",25.384615,0.379,0.0149303032565197,"Overvalued"
"Andrew Benintendi",6,45,191,30,"CHW",15,0.219,0.0146,"Overvalued"
"Jung Hoo Lee",3,77,230,24,"SF",18.833333,0.273,0.0144955754777978,"Overvalued"
"Kevin McGonigle",4,69,241,24,"DET",18.75,0.263,0.0140266666666667,"Overvalued"
"Brandon Nimmo",7,62,245,22,"TEX",20.25,0.284,0.0140246913580247,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Willy Adames",11,63,269,29,"SF",26,0.343,0.0131923076923077,"Overvalued"
"Bobby Witt Jr.",9,73,264,27,"KC",26.252525,0.345,0.0131415930467641,"Overvalued"
"José Ramírez",10,62,257,33,"CLE",25,0.326,0.01304,"Overvalued"
"Freddie Freeman",10,69,243,36,"LAD",27,0.347,0.0128518518518519,"Overvalued"
"Austin Riley",8,51,244,34,"ATL",21.2,0.265,0.0125,"Overvalued"
"Pete Alonso",13,62,259,41,"BAL",31,0.368,0.0118709677419355,"Overvalued"
"Marcus Semien",8,53,238,25,"NYM",25,0.271,0.01084,"Overvalued"
"Nico Hoerner",4,65,263,33,"CHC",23.5,0.251,0.0106808510638298,"Overvalued"
"Xander Bogaerts",8,52,225,27,"SD",25.454545,0.268,0.0105285716165816,"Overvalued"
"Trea Turner",7,61,270,21,"PHI",27.272727,0.281,0.0103033334363667,"Overvalued"
"Cal Raleigh",7,26,161,18,"SEA",17.5,0.176,0.0100571428571429,"Overvalued"
"Mike Trout",14,53,238,31,"LAA",35.541667,0.355,0.00998827657689776,"Overvalued"
"Aaron Judge",17,53,214,38,"NYY",40,0.397,0.009925,"Overvalued"
"Cody Bellinger",9,64,235,43,"NYY",32.5,0.318,0.00978461538461538,"Overvalued"
"Matt Chapman",4,62,247,34,"SF",25.166667,0.242,0.00961589391237226,"Overvalued"
"Rafael Devers",8,62,266,32,"SF",31.35,0.298,0.00950558213716108,"Overvalued"
"Fernando Tatis Jr.",1,69,248,19,"SD",24.285714,0.221,0.00910000010705882,"Overvalued"
"Manny Machado",11,40,234,33,"SD",31.818182,0.274,0.00861142852222041,"Overvalued"
"Colt Emerson",4,15,62,10,"SEA",11.875,0.101,0.00850526315789474,"Overvalued"
"Dansby Swanson",7,38,209,28,"CHC",25.285714,0.212,0.00838418088569696,"Overvalued"
"Nolan Arenado",8,52,203,30,"ARI",32.5,0.268,0.00824615384615385,"Overvalued"
"Jose Altuve",5,42,177,13,"HOU",25,0.196,0.00784,"Overvalued"
"Alex Bregman",5,66,266,20,"CHC",35,0.268,0.00765714285714286,"Overvalued"
"George Springer",5,36,178,14,"TOR",25,0.178,0.00712,"Overvalued"
"Vladimir Guerrero Jr.",3,67,238,25,"TOR",35.714286,0.243,0.006803999945568,"Overvalued"
"Christian Yelich",4,41,143,21,"MIL",26.928571,0.179,0.00664721495990262,"Overvalued"
"Juan Soto",13,50,181,30,"NYM",51,0.332,0.00650980392156863,"Overvalued"
"Corey Seager",8,31,168,23,"TEX",32.5,0.205,0.00630769230769231,"Overvalued"
"Trevor Story",3,34,165,19,"BOS",23.333333,0.144,0.00617142865959184,"Overvalued"
"Bo Bichette",5,61,265,32,"NYM",42,0.253,0.00602380952380952,"Overvalued"
"Masataka Yoshida",1,30,127,10,"BOS",18,0.104,0.00577777777777778,"Overvalued"
"Roman Anthony",1,25,109,5,"BOS",16.25,0.089,0.00547692307692308,"Overvalued"
"Shohei Ohtani",11,71,236,37,"LAD",70,0.367,0.00524285714285714,"Overvalued"
"Mookie Betts",6,24,126,17,"LAD",30.416667,0.156,0.005128767067082,"Overvalued"
"Jake Cronenworth",1,14,97,4,"SD",11.428571,0.056,0.00490000018375001,"Overvalued"
"Giancarlo Stanton",3,23,90,14,"NYY",25,0.111,0.00444,"Overvalued"
"Carlos Correa",3,34,122,16,"HOU",33.333333,0.144,0.0043200000432,"Overvalued"
"Kyle Tucker",5,54,232,31,"LAD",60,0.232,0.00386666666666667,"Overvalued"
"Javier Báez",2,20,78,6,"DET",23.333333,0.088,0.00377142862530612,"Overvalued"
"Francisco Lindor",2,21,93,5,"NYM",34.1,0.091,0.00266862170087977,"Overvalued"
