"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,131,477,79,"TB",0.7948,"spotrac",0.883,1.110971313538,1,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.997916666666667,"Undervalued"
"Yandy Díaz",18,145,474,70,NA,0.72,"league_minimum_default",0.687,0.954166666666667,0.995833333333333,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.99375,"Undervalued"
"Sal Stewart",26,124,480,91,"CIN",0.7815,"spotrac",0.736,0.941778630838132,0.991666666666667,"Undervalued"
"Ben Rice",33,111,446,78,"NYY",0.8458,"spotrac",0.795,0.939938519744621,0.989583333333333,"Undervalued"
"Jordan Walker",24,138,478,88,"STL",0.7994,"spotrac",0.75,0.938203652739555,0.9875,"Undervalued"
"Luis García Jr.",24,111,403,79,NA,0.72,"league_minimum_default",0.669,0.929166666666667,0.985416666666667,"Undervalued"
"Miguel Vargas",28,110,460,72,"CHW",0.8057,"spotrac",0.722,0.896115179347151,0.983333333333333,"Undervalued"
"Andy Pages",21,133,487,80,"LAD",0.8,"spotrac",0.693,0.86625,0.98125,"Undervalued"
"Dillon Dingler",26,115,447,82,"DET",0.8349,"spotrac",0.709,0.849203497424841,0.979166666666667,"Undervalued"
"Julio Rodríguez",19,115,450,52,NA,0.72,"league_minimum_default",0.611,0.848611111111111,0.977083333333333,"Undervalued"
"Jac Caglianone",22,118,425,60,"KC",0.784,"spotrac",0.662,0.844387755102041,0.975,"Undervalued"
"Wilyer Abreu",22,120,467,67,"BOS",0.81,"spotrac",0.668,0.824691358024691,0.972916666666667,"Undervalued"
"Colson Montgomery",26,97,447,71,"CHW",0.7985,"spotrac",0.655,0.820288040075141,0.970833333333333,"Undervalued"
"Drake Baldwin",21,112,403,63,"ATL",0.8,"spotrac",0.63,0.7875,0.96875,"Undervalued"
"TJ Rumfield",13,127,434,60,NA,0.72,"league_minimum_default",0.563,0.781944444444444,0.966666666666667,"Undervalued"
"Jonathan Aranda",15,132,463,76,"TB",0.7964,"spotrac",0.606,0.760924158714214,0.964583333333333,"Undervalued"
"Elly De La Cruz",20,109,421,57,"CIN",0.8,"spotrac",0.607,0.75875,0.9625,"Undervalued"
"Iván Herrera",14,116,472,53,NA,0.72,"league_minimum_default",0.544,0.755555555555556,0.960416666666667,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.958333333333333,"Undervalued"
"Brooks Lee",18,109,447,66,"MIN",0.79305,"spotrac",0.579,0.73009268015888,0.95625,"Undervalued"
"Carson Benge",14,123,455,49,"NYM",0.78,"spotrac",0.565,0.724358974358974,0.954166666666667,"Undervalued"
"Cole Young",15,119,461,56,"SEA",0.7861,"spotrac",0.567,0.721282279608192,0.952083333333333,"Undervalued"
"Kody Clemens",21,95,407,58,"MIN",0.8039,"spotrac",0.579,0.720238835676079,0.95,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.947916666666667,"Undervalued"
"Otto Lopez",9,152,494,54,"MIA",0.8105,"spotrac",0.582,0.718075262183837,0.945833333333333,"Undervalued"
"Daylen Lile",15,117,477,65,"WSH",0.786,"spotrac",0.561,0.713740458015267,0.94375,"Undervalued"
"Liam Hicks",16,110,391,71,"TB",0.79,"spotrac",0.554,0.70126582278481,0.941666666666667,"Undervalued"
"Jazz Chisholm Jr.",17,87,406,48,NA,0.72,"league_minimum_default",0.499,0.693055555555555,0.939583333333333,"Undervalued"
"Chase Meidroth",12,122,444,49,"CHW",0.7891,"spotrac",0.534,0.676720314282094,0.9375,"Undervalued"
"Chase DeLauter",13,115,403,57,"CLE",0.78,"spotrac",0.527,0.675641025641026,0.935416666666667,"Undervalued"
"Mauricio Dubón",10,115,445,61,NA,0.72,"league_minimum_default",0.485,0.673611111111111,0.933333333333333,"Undervalued"
"Dominic Canzone",19,87,335,52,"SEA",0.7966,"spotrac",0.527,0.661561636957067,0.93125,"Undervalued"
"Michael Busch",15,116,476,64,"CHC",0.86,"spotrac",0.558,0.648837209302325,0.929166666666667,"Undervalued"
"Heriberto Hernández",18,71,311,51,NA,0.72,"league_minimum_default",0.465,0.645833333333333,0.927083333333333,"Undervalued"
"Eugenio Suárez",18,70,337,50,NA,0.72,"league_minimum_default",0.462,0.641666666666667,0.925,"Undervalued"
"Jeremy Peña",14,88,310,40,NA,0.72,"league_minimum_default",0.46,0.638888888888889,0.922916666666667,"Undervalued"
"Carter Jensen",16,91,413,56,"KC",0.78115,"spotrac",0.497,0.63624143890418,0.920833333333333,"Undervalued"
"Cam Smith",17,90,403,46,"HOU",0.8099,"spotrac",0.508,0.627237930608717,0.91875,"Undervalued"
"Nick Gonzales",6,138,448,53,"PIT",0.8016,"spotrac",0.498,0.62125748502994,0.916666666666667,"Undervalued"
"Caleb Durbin",12,103,400,62,"BOS",0.796,"spotrac",0.477,0.599246231155779,0.914583333333333,"Undervalued"
"Xavier Edwards",6,132,462,47,"MIA",0.804,"spotrac",0.48,0.597014925373134,0.9125,"Undervalued"
"Kyle Stowers",16,85,351,52,"MIA",0.8042,"spotrac",0.479,0.595622979358368,0.910416666666667,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.908333333333333,"Undervalued"
"Brayan Rocchio",10,108,427,51,"CLE",0.7976,"spotrac",0.464,0.581745235707121,0.90625,"Undervalued"
"José Caballero",12,79,327,42,NA,0.72,"league_minimum_default",0.405,0.5625,0.904166666666667,"Undervalued"
"Teoscar Hernández",11,80,320,43,NA,0.72,"league_minimum_default",0.394,0.547222222222222,0.902083333333333,"Undervalued"
"Coby Mayo",17,64,299,47,"BAL",0.7908,"spotrac",0.43,0.543753161355589,0.9,"Undervalued"
"Andrés Giménez",8,92,382,49,NA,0.72,"league_minimum_default",0.388,0.538888888888889,0.897916666666667,"Undervalued"
"José Ramírez",10,82,340,38,NA,0.72,"league_minimum_default",0.386,0.536111111111111,0.895833333333333,"Undervalued"
"Bryce Eldridge",14,73,292,33,"SF",0.78,"spotrac",0.415,0.532051282051282,0.89375,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.889583333333333,"Undervalued"
"Ronald Acuña Jr.",13,67,278,34,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.889583333333333,"Undervalued"
"Luke Keaschall",7,107,396,36,"MIN",0.7882,"spotrac",0.419,0.531590966759706,0.8875,"Undervalued"
"Sam Antonacci",8,99,362,36,"CHW",0.78,"spotrac",0.409,0.524358974358974,0.885416666666667,"Undervalued"
"Kyle Karros",10,90,340,44,"COL",0.782,"spotrac",0.41,0.524296675191816,0.883333333333333,"Undervalued"
"Nolan Schanuel",7,108,384,48,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.88125,"Undervalued"
"Angel Martínez",12,69,290,44,NA,0.72,"league_minimum_default",0.375,0.520833333333333,0.879166666666667,"Undervalued"
