"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,132,481,80,"TB",0.7948,"spotrac",0.886,1.11474584801208,1,"Undervalued"
"Yandy Díaz",19,146,477,72,NA,0.72,"league_minimum_default",0.704,0.977777777777778,0.997916666666667,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.995833333333333,"Undervalued"
"Ben Rice",34,113,451,79,"NYY",0.8458,"spotrac",0.815,0.963584771813668,0.99375,"Undervalued"
"Sal Stewart",27,125,483,94,"CIN",0.7815,"spotrac",0.753,0.963531669865643,0.991666666666667,"Undervalued"
"Jordan Walker",25,139,482,90,"STL",0.7994,"spotrac",0.767,0.959469602201651,0.989583333333333,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.9875,"Undervalued"
"Luis García Jr.",24,112,408,79,NA,0.72,"league_minimum_default",0.672,0.933333333333333,0.985416666666667,"Undervalued"
"Miguel Vargas",28,112,463,72,"CHW",0.8057,"spotrac",0.728,0.903562119895743,0.983333333333333,"Undervalued"
"Andy Pages",21,134,492,80,"LAD",0.8,"spotrac",0.696,0.87,0.98125,"Undervalued"
"Dillon Dingler",26,115,451,82,"DET",0.8349,"spotrac",0.709,0.849203497424841,0.979166666666667,"Undervalued"
"Julio Rodríguez",19,115,454,53,NA,0.72,"league_minimum_default",0.611,0.848611111111111,0.977083333333333,"Undervalued"
"Jac Caglianone",22,119,426,60,"KC",0.784,"spotrac",0.665,0.848214285714286,0.975,"Undervalued"
"Wilyer Abreu",22,121,471,67,"BOS",0.81,"spotrac",0.671,0.828395061728395,0.972916666666667,"Undervalued"
"Colson Montgomery",26,98,451,71,"CHW",0.7985,"spotrac",0.658,0.8240450845335,0.970833333333333,"Undervalued"
"Drake Baldwin",21,112,408,63,"ATL",0.8,"spotrac",0.63,0.7875,0.96875,"Undervalued"
"TJ Rumfield",13,128,438,60,NA,0.72,"league_minimum_default",0.566,0.786111111111111,0.966666666666667,"Undervalued"
"Elly De La Cruz",20,110,425,57,"CIN",0.8,"spotrac",0.61,0.7625,0.964583333333333,"Undervalued"
"Jonathan Aranda",15,132,467,76,"TB",0.7964,"spotrac",0.606,0.760924158714214,0.9625,"Undervalued"
"Iván Herrera",14,116,476,53,NA,0.72,"league_minimum_default",0.544,0.755555555555556,0.960416666666667,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.958333333333333,"Undervalued"
"Carson Benge",15,125,459,51,"NYM",0.78,"spotrac",0.585,0.75,0.95625,"Undervalued"
"Brooks Lee",18,110,451,67,"MIN",0.79305,"spotrac",0.582,0.733875543786647,0.954166666666667,"Undervalued"
"Kody Clemens",21,97,411,61,"MIN",0.8039,"spotrac",0.585,0.727702450553551,0.952083333333333,"Undervalued"
"Otto Lopez",9,153,497,54,"MIA",0.8105,"spotrac",0.585,0.721776681061073,0.95,"Undervalued"
