"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",17,55,213,27,"MIN",14.285714,0.403,0.0282100005642,"Overvalued"
"Yordan Alvarez",20,65,216,39,"HOU",19.166667,0.475,0.0247826082646503,"Overvalued"
"Corbin Carroll",7,59,206,28,"ARI",13.875,0.275,0.0198198198198198,"Overvalued"
"Tyler Soderstrom",7,47,208,26,"ATH",12.285714,0.239,0.0194534888244997,"Overvalued"
"Matt Olson",16,61,234,45,"ATL",21,0.407,0.0193809523809524,"Overvalued"
"Bryan Reynolds",6,58,210,38,"PIT",13.34375,0.258,0.0193348946135831,"Overvalued"
"Willson Contreras",11,56,196,33,"BOS",17.5,0.322,0.0184,"Overvalued"
"Ronald Acuña Jr.",7,43,170,21,"ATL",12.5,0.227,0.01816,"Overvalued"
"Ketel Marte",10,59,225,35,"ARI",19.416667,0.317,0.016326179977233,"Overvalued"
"Kyle Schwarber",22,50,214,39,"PHI",30,0.458,0.0152666666666667,"Overvalued"
"Will Smith",6,41,164,23,"LAD",14,0.207,0.0147857142857143,"Overvalued"
"Josh Naylor",6,57,224,25,"SEA",18.5,0.255,0.0137837837837838,"Overvalued"
"Bryce Harper",13,54,207,34,"PHI",25.384615,0.344,0.0135515153568411,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Brandon Nimmo",7,58,225,21,"TEX",20.25,0.272,0.0134320987654321,"Overvalued"
"Jackson Merrill",5,43,206,21,"SD",15,0.199,0.0132666666666667,"Overvalued"
"Pete Crow-Armstrong",7,52,219,26,"CHC",19.166667,0.254,0.0132521736825709,"Overvalued"
"Seiya Suzuki",7,42,172,19,"CHC",17,0.224,0.0131764705882353,"Overvalued"
"Andrew Benintendi",5,41,172,27,"CHW",15,0.193,0.0128666666666667,"Overvalued"
"Bobby Witt Jr.",9,68,237,26,"KC",26.252525,0.33,0.0125702194360352,"Overvalued"
"Kevin McGonigle",3,63,221,21,"DET",18.75,0.231,0.01232,"Overvalued"
"Austin Riley",8,46,220,32,"ATL",21.2,0.25,0.0117924528301887,"Overvalued"
"Jung Hoo Lee",3,60,198,19,"SF",18.833333,0.222,0.0117876108280993,"Overvalued"
"Willy Adames",8,57,238,23,"SF",26,0.283,0.0108846153846154,"Overvalued"
"Jackson Chourio",2,27,98,11,"MIL",10.25,0.109,0.0106341463414634,"Overvalued"
