"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",38,153,545,91,"TB",0.7948,"spotrac",0.991,1.24685455460493,1,"Undervalued"
"Sal Stewart",31,146,545,106,"CIN",0.7815,"spotrac",0.872,1.11580294305822,0.998015873015873,"Undervalued"
"Yandy Díaz",21,165,543,76,NA,0.72,"league_minimum_default",0.789,1.09583333333333,0.996031746031746,"Undervalued"
"Luis García Jr.",28,130,458,88,NA,0.72,"league_minimum_default",0.782,1.08611111111111,0.994047619047619,"Undervalued"
"Jordan Walker",28,156,545,100,"STL",0.7994,"spotrac",0.86,1.07580685514136,0.992063492063492,"Undervalued"
"Ben Rice",36,133,509,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.990079365079365,"Undervalued"
"Hunter Goodman",36,114,457,76,"COL",0.81,"spotrac",0.846,1.04444444444444,0.988095238095238,"Undervalued"
"Miguel Vargas",30,130,518,78,"CHW",0.8057,"spotrac",0.81,1.00533697405982,0.986111111111111,"Undervalued"
"James Wood",30,120,450,74,"WSH",0.8069,"spotrac",0.78,0.96666253563019,0.984126984126984,"Undervalued"
"Colson Montgomery",31,108,506,82,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.982142857142857,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.98015873015873,"Undervalued"
"Julio Rodríguez",20,126,524,61,NA,0.72,"league_minimum_default",0.658,0.913888888888889,0.978174603174603,"Undervalued"
"Wilyer Abreu",23,137,535,70,"BOS",0.81,"spotrac",0.733,0.904938271604938,0.976190476190476,"Undervalued"
"Elly De La Cruz",22,135,486,62,"CIN",0.8,"spotrac",0.713,0.89125,0.974206349206349,"Undervalued"
"TJ Rumfield",15,143,485,66,NA,0.72,"league_minimum_default",0.639,0.8875,0.972222222222222,"Undervalued"
"Jonathan Aranda",19,145,522,85,"TB",0.7964,"spotrac",0.701,0.880210949271723,0.970238095238095,"Undervalued"
"Daylen Lile",20,137,539,82,"WSH",0.786,"spotrac",0.691,0.87913486005089,0.968253968253968,"Undervalued"
"Dillon Dingler",26,123,498,83,"DET",0.8349,"spotrac",0.733,0.877949455024554,0.966269841269841,"Undervalued"
"Drake Baldwin",22,130,469,69,"ATL",0.8,"spotrac",0.698,0.8725,0.964285714285714,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.962301587301587,"Undervalued"
"Iván Herrera",16,133,537,62,NA,0.72,"league_minimum_default",0.623,0.865277777777778,0.96031746031746,"Undervalued"
"Brooks Lee",22,126,509,78,"MIN",0.79305,"spotrac",0.686,0.865014816215875,0.958333333333333,"Undervalued"
"Carson Benge",16,142,515,54,"NYM",0.78,"spotrac",0.65,0.833333333333333,0.956349206349206,"Undervalued"
"Kody Clemens",24,110,460,71,"MIN",0.8039,"spotrac",0.666,0.828461251399428,0.954365079365079,"Undervalued"
"Carter Jensen",22,107,466,67,"KC",0.78115,"spotrac",0.629,0.805223068552775,0.952380952380952,"Undervalued"
"Jazz Chisholm Jr.",19,104,454,55,NA,0.72,"league_minimum_default",0.578,0.802777777777778,0.950396825396825,"Undervalued"
"Heriberto Hernández",23,84,370,61,NA,0.72,"league_minimum_default",0.574,0.797222222222222,0.948412698412698,"Undervalued"
"Otto Lopez",10,167,556,62,"MIA",0.8105,"spotrac",0.641,0.79086983343615,0.946428571428571,"Undervalued"
"Liam Hicks",17,125,433,76,"TB",0.79,"spotrac",0.613,0.775949367088608,0.944444444444444,"Undervalued"
"Cole Young",16,127,519,58,"SEA",0.7861,"spotrac",0.605,0.769622185472586,0.942460317460317,"Undervalued"
"Mauricio Dubón",11,133,501,66,NA,0.72,"league_minimum_default",0.553,0.768055555555555,0.94047619047619,"Undervalued"
"Dominic Canzone",21,102,401,64,"SEA",0.7966,"spotrac",0.6,0.753201104694953,0.938492063492063,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.936507936507937,"Undervalued"
"Jeremy Peña",17,101,369,46,NA,0.72,"league_minimum_default",0.541,0.751388888888889,0.93452380952381,"Undervalued"
"Eugenio Suárez",21,80,380,62,NA,0.72,"league_minimum_default",0.534,0.741666666666667,0.932539682539683,"Undervalued"
"Michael Busch",18,128,539,70,"CHC",0.86,"spotrac",0.636,0.73953488372093,0.930555555555556,"Undervalued"
"Chase DeLauter",13,131,445,60,"CLE",0.78,"spotrac",0.575,0.737179487179487,0.928571428571429,"Undervalued"
"Chase Meidroth",12,137,505,51,"CHW",0.7891,"spotrac",0.579,0.733747307058674,0.926587301587302,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.924603174603175,"Undervalued"
"Kyle Stowers",19,97,388,60,"MIA",0.8042,"spotrac",0.557,0.692613777667247,0.922619047619048,"Undervalued"
"Tristan Peters",12,108,385,52,NA,0.72,"league_minimum_default",0.492,0.683333333333333,0.920634920634921,"Undervalued"
"Nick Gonzales",6,154,501,59,"PIT",0.8016,"spotrac",0.546,0.681137724550898,0.918650793650794,"Undervalued"
"Brayan Rocchio",12,117,476,59,"CLE",0.7976,"spotrac",0.519,0.650702106318957,0.916666666666667,"Undervalued"
"Cam Smith",17,96,448,50,"HOU",0.8099,"spotrac",0.526,0.649462896653908,0.91468253968254,"Undervalued"
"Ronald Acuña Jr.",15,85,338,41,NA,0.72,"league_minimum_default",0.465,0.645833333333333,0.912698412698413,"Undervalued"
"Luke Keaschall",9,127,460,44,"MIN",0.7882,"spotrac",0.507,0.643237756914489,0.910714285714286,"Undervalued"
"Teoscar Hernández",12,96,374,51,NA,0.72,"league_minimum_default",0.456,0.633333333333333,0.908730158730159,"Undervalued"
"Caleb Durbin",12,112,452,62,"BOS",0.796,"spotrac",0.504,0.633165829145729,0.906746031746032,"Undervalued"
"Xavier Edwards",6,141,500,51,"MIA",0.804,"spotrac",0.507,0.630597014925373,0.904761904761905,"Undervalued"
"Coby Mayo",19,76,343,55,"BAL",0.7908,"spotrac",0.494,0.624683864441072,0.902777777777778,"Undervalued"
"José Caballero",13,89,379,47,NA,0.72,"league_minimum_default",0.449,0.623611111111111,0.900793650793651,"Undervalued"
"Bryce Eldridge",15,91,347,45,"SF",0.78,"spotrac",0.483,0.619230769230769,0.898809523809524,"Undervalued"
"José Ramírez",11,96,405,48,NA,0.72,"league_minimum_default",0.442,0.613888888888889,0.896825396825397,"Undervalued"
"Angel Martínez",14,81,331,50,NA,0.72,"league_minimum_default",0.439,0.609722222222222,0.89484126984127,"Undervalued"
"Zack Gelof",17,84,323,42,"ATH",0.82,"spotrac",0.49,0.597560975609756,0.892857142857143,"Undervalued"
"Chandler Simpson",0,155,504,31,"TB",0.7851,"spotrac",0.465,0.592281238058846,0.890873015873016,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.888888888888889,"Undervalued"
"Wyatt Langford",15,86,349,36,"TEX",0.805,"spotrac",0.468,0.581366459627329,0.886904761904762,"Undervalued"
"Andrés Giménez",8,101,415,52,NA,0.72,"league_minimum_default",0.415,0.576388888888889,0.884920634920635,"Undervalued"
"Sam Antonacci",8,110,418,41,"CHW",0.78,"spotrac",0.442,0.566666666666667,0.882936507936508,"Undervalued"
"Javier Sanoja",7,110,384,53,"MIA",0.7915,"spotrac",0.428,0.54074542008844,0.880952380952381,"Undervalued"
"Travis Bazzana",10,93,385,46,"CLE",0.78,"spotrac",0.419,0.537179487179487,0.878968253968254,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.876984126984127,"Undervalued"
"Jacob Young",10,94,378,44,"WSH",0.7942,"spotrac",0.422,0.53135230420549,0.875,"Undervalued"
"Kyle Karros",10,91,346,44,"COL",0.782,"spotrac",0.413,0.528132992327366,0.873015873015873,"Undervalued"
"Nathan Lukes",10,95,352,36,"TOR",0.8085,"spotrac",0.425,0.525664811379097,0.871031746031746,"Undervalued"
"Nathan Church",10,90,370,47,"STL",0.78215,"spotrac",0.41,0.524196126062776,0.869047619047619,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.867063492063492,"Undervalued"
"Jakob Marsee",9,94,451,32,"MIA",0.786,"spotrac",0.408,0.519083969465649,0.865079365079365,"Undervalued"
"Henry Bolte",8,94,343,31,"ATH",0.78,"spotrac",0.394,0.505128205128205,0.863095238095238,"Undervalued"
"Vaughn Grissom",10,87,350,59,"LAA",0.8,"spotrac",0.401,0.50125,0.861111111111111,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.859126984126984,"Undervalued"
"Esmerlyn Valdez",16,54,229,45,"PIT",0.78,"spotrac",0.386,0.494871794871795,0.857142857142857,"Undervalued"
"Heliot Ramos",10,86,357,38,"NYY",0.81,"spotrac",0.398,0.491358024691358,0.85515873015873,"Undervalued"
"Spencer Horwitz",10,84,343,41,"PIT",0.802,"spotrac",0.392,0.488778054862843,0.853174603174603,"Undervalued"
"Jake Mangum",4,110,386,30,"PIT",0.8002,"spotrac",0.386,0.482379405148713,0.851190476190476,"Undervalued"
"A.J. Ewing",8,87,365,30,"NYM",0.78,"spotrac",0.373,0.478205128205128,0.849206349206349,"Undervalued"
"Griffin Conine",15,55,215,34,"MIA",0.786,"spotrac",0.375,0.477099236641221,0.847222222222222,"Undervalued"
"Masyn Winn",5,103,432,51,"STL",0.79945,"spotrac",0.379,0.47407592719995,0.845238095238095,"Undervalued"
"Troy Johnston",4,104,363,48,"COL",0.782,"spotrac",0.368,0.470588235294118,0.843253968253968,"Undervalued"
"Colton Cowser",13,65,299,37,"BAL",0.8015,"spotrac",0.377,0.470368059887711,0.841269841269841,"Undervalued"
"Owen Caissie",13,61,277,53,"MIA",0.7815,"spotrac",0.365,0.467050543825976,0.839285714285714,"Undervalued"
"Garrett Mitchell",9,104,401,55,"MIL",0.95,"spotrac",0.438,0.461052631578947,0.837301587301587,"Undervalued"
"Ezequiel Duran",17,128,468,77,"TEX",1.375,"spotrac",0.622,0.452363636363636,0.83531746031746,"Undervalued"
"Ty France",20,109,373,62,"SD",1.35,"spotrac",0.607,0.44962962962963,0.833333333333333,"Undervalued"
"Joey Ortiz",8,81,318,42,"MIL",0.7904,"spotrac",0.355,0.44913967611336,0.831349206349206,"Undervalued"
"Brett Baty",8,84,376,46,"NYM",0.8115,"spotrac",0.364,0.448552064078866,0.829365079365079,"Undervalued"
"Joe Mack",12,60,260,41,"MIA",0.78,"spotrac",0.348,0.446153846153846,0.827380952380952,"Undervalued"
"Jonny DeLuca",9,75,289,42,"TB",0.7893,"spotrac",0.351,0.444697833523375,0.825396825396825,"Undervalued"
"Jesús Sánchez",8,69,263,35,NA,0.72,"league_minimum_default",0.319,0.443055555555556,0.821428571428571,"Undervalued"
"Richie Palacios",8,69,304,43,NA,0.72,"league_minimum_default",0.319,0.443055555555556,0.821428571428571,"Undervalued"
"Isaac Collins",6,90,401,40,"KC",0.79975,"spotrac",0.354,0.442638324476399,0.819444444444444,"Undervalued"
"Dylan Crews",10,74,337,35,"WSH",0.82,"spotrac",0.362,0.441463414634146,0.817460317460317,"Undervalued"
"Carlos Cortes",8,77,297,38,"ATH",0.78,"spotrac",0.343,0.43974358974359,0.81547619047619,"Undervalued"
"Brady House",10,67,272,41,"WSH",0.7832,"spotrac",0.341,0.435393258426966,0.813492063492063,"Undervalued"
"Mark Vientos",13,54,247,39,"NYM",0.81375,"spotrac",0.344,0.422734254992319,0.811507936507937,"Undervalued"
"Dalton Rushing",12,55,221,36,"LAD",0.79,"spotrac",0.333,0.421518987341772,0.80952380952381,"Undervalued"
"Drew Gilbert",8,72,306,36,"SF",0.78,"spotrac",0.328,0.42051282051282,0.807539682539683,"Undervalued"
"Evan Carter",9,68,347,35,"TEX",0.7915,"spotrac",0.33,0.416929879974732,0.805555555555556,"Undervalued"
"Justin Crawford",2,99,373,35,"PHI",0.78,"spotrac",0.325,0.416666666666667,0.801587301587302,"Undervalued"
"Randal Grichuk",11,57,212,34,"CHW",0.78,"spotrac",0.325,0.416666666666667,0.801587301587302,"Undervalued"
"Nick Loftin",7,76,320,41,"KC",0.78675,"spotrac",0.326,0.414362885287576,0.799603174603175,"Undervalued"
"JJ Bleday",22,89,402,55,"CIN",1.4,"spotrac",0.575,0.410714285714286,0.797619047619048,"Undervalued"
"Hao-Yu Lee",8,69,262,37,"DET",0.78,"spotrac",0.319,0.408974358974359,0.795634920634921,"Undervalued"
"José Fermín",6,70,291,36,NA,0.72,"league_minimum_default",0.294,0.408333333333333,0.793650793650794,"Undervalued"
"Jake McCarthy",14,135,466,72,"COL",1.525,"spotrac",0.601,0.394098360655738,0.791666666666667,"Undervalued"
"Justin Foscue",11,51,192,29,"TEX",0.78,"spotrac",0.307,0.393589743589744,0.78968253968254,"Undervalued"
"Gary Sánchez",11,43,203,35,NA,0.72,"league_minimum_default",0.283,0.393055555555556,0.787698412698413,"Undervalued"
"Tim Tawa",9,60,252,35,"ARI",0.7877,"spotrac",0.306,0.388472768820617,0.785714285714286,"Undervalued"
"Cole Carrigg",7,68,253,39,"COL",0.78,"spotrac",0.302,0.387179487179487,0.783730158730159,"Undervalued"
"Oswald Peraza",7,71,320,24,"LAA",0.81,"spotrac",0.311,0.383950617283951,0.781746031746032,"Undervalued"
"Nasim Nuñez",1,86,404,35,NA,0.72,"league_minimum_default",0.272,0.377777777777778,0.779761904761905,"Undervalued"
"José Tena",7,56,246,23,NA,0.72,"league_minimum_default",0.266,0.369444444444444,0.777777777777778,"Undervalued"
"Jackson Holliday",7,66,284,28,"BAL",0.8022,"spotrac",0.296,0.368985290451259,0.775793650793651,"Undervalued"
"Marcell Ozuna",8,51,251,29,NA,0.72,"league_minimum_default",0.265,0.368055555555556,0.773809523809524,"Undervalued"
"Andruw Monasterio",6,71,287,40,"BOS",0.8075,"spotrac",0.297,0.367801857585139,0.771825396825397,"Undervalued"
"Blaze Alexander",4,78,251,30,"BAL",0.7928,"spotrac",0.29,0.365792129162462,0.76984126984127,"Undervalued"
"Moisés Ballesteros",7,55,262,30,NA,0.72,"league_minimum_default",0.263,0.365277777777778,0.767857142857143,"Undervalued"
"Víctor Mesa Jr.",10,40,177,23,NA,0.72,"league_minimum_default",0.26,0.361111111111111,0.765873015873016,"Undervalued"
"David Hamilton",4,76,306,25,"MIL",0.7873,"spotrac",0.284,0.36072653372285,0.763888888888889,"Undervalued"
"Luis Rengifo",4,75,312,36,"SD",0.78,"spotrac",0.281,0.36025641025641,0.761904761904762,"Undervalued"
"Brandon Valenzuela",8,48,217,21,NA,0.72,"league_minimum_default",0.256,0.355555555555556,0.759920634920635,"Undervalued"
"Dane Myers",6,66,249,22,"CIN",0.8,"spotrac",0.282,0.3525,0.757936507936508,"Undervalued"
"Austin Wells",10,55,296,28,"NYY",0.8662,"spotrac",0.305,0.352112676056338,0.755952380952381,"Undervalued"
"Ildemaro Vargas",9,104,415,66,"ARI",1.25,"spotrac",0.438,0.3504,0.753968253968254,"Undervalued"
"Dylan Beavers",6,63,257,32,"BAL",0.7874,"spotrac",0.273,0.346710693421387,0.751984126984127,"Undervalued"
"Spencer Jones",9,48,196,30,"NYY",0.78,"spotrac",0.27,0.346153846153846,0.75,"Undervalued"
