"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",41,167,607,99,"TB",0.7948,"spotrac",1.075,1.35254151987922,1,"Undervalued"
"Ben Rice",41,148,565,97,"NYY",0.8458,"spotrac",1.018,1.2035942303145,0.998073217726397,"Undervalued"
"Sal Stewart",32,162,609,110,"CIN",0.7815,"spotrac",0.934,1.19513755598209,0.996146435452794,"Undervalued"
"Luis García Jr.",30,142,513,91,NA,0.72,"league_minimum_default",0.846,1.175,0.994219653179191,"Undervalued"
"Yandy Díaz",22,177,606,85,NA,0.72,"league_minimum_default",0.839,1.16527777777778,0.992292870905588,"Undervalued"
"Hunter Goodman",39,124,506,84,"COL",0.81,"spotrac",0.918,1.13333333333333,0.990366088631985,"Undervalued"
"Miguel Vargas",33,147,583,92,"CHW",0.8057,"spotrac",0.903,1.12076455256299,0.988439306358382,"Undervalued"
"Elly De La Cruz",30,156,547,77,"CIN",0.8,"spotrac",0.888,1.11,0.986512524084778,"Undervalued"
"Jordan Walker",28,162,597,100,"STL",0.7994,"spotrac",0.878,1.09832374280711,0.984585741811175,"Undervalued"
"Julio Rodríguez",22,147,587,70,NA,0.72,"league_minimum_default",0.749,1.04027777777778,0.982658959537572,"Undervalued"
"James Wood",30,132,503,77,"WSH",0.8069,"spotrac",0.816,1.01127772958235,0.980732177263969,"Undervalued"
"Drake Baldwin",24,153,540,77,"ATL",0.8,"spotrac",0.795,0.99375,0.978805394990366,"Undervalued"
"Jonathan Aranda",22,157,571,92,"TB",0.7964,"spotrac",0.779,0.978151682571572,0.976878612716763,"Undervalued"
"Brooks Lee",24,146,573,83,"MIN",0.79305,"spotrac",0.774,0.975978815963684,0.97495183044316,"Undervalued"
"Colson Montgomery",31,112,559,87,"CHW",0.7985,"spotrac",0.77,0.964308077645585,0.973025048169557,"Undervalued"
"TJ Rumfield",15,161,542,71,NA,0.72,"league_minimum_default",0.693,0.9625,0.971098265895954,"Undervalued"
"Wilyer Abreu",24,147,586,74,"BOS",0.81,"spotrac",0.777,0.959259259259259,0.969171483622351,"Undervalued"
