"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,131,477,79,"TB",0.7948,"spotrac",0.883,1.110971313538,1,"Undervalued"
"Hunter Goodman",34,104,414,69,"COL",0.81,"spotrac",0.788,0.972839506172839,0.997916666666667,"Undervalued"
"Yandy Díaz",18,145,474,70,NA,0.72,"league_minimum_default",0.687,0.954166666666667,0.995833333333333,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.99375,"Undervalued"
"Sal Stewart",26,124,480,91,"CIN",0.7815,"spotrac",0.736,0.941778630838132,0.991666666666667,"Undervalued"
"Ben Rice",33,111,446,78,"NYY",0.8458,"spotrac",0.795,0.939938519744621,0.989583333333333,"Undervalued"
"Jordan Walker",24,138,478,88,"STL",0.7994,"spotrac",0.75,0.938203652739555,0.9875,"Undervalued"
"Luis García Jr.",24,111,403,79,NA,0.72,"league_minimum_default",0.669,0.929166666666667,0.985416666666667,"Undervalued"
"Miguel Vargas",28,110,460,72,"CHW",0.8057,"spotrac",0.722,0.896115179347151,0.983333333333333,"Undervalued"
"Andy Pages",21,133,487,80,"LAD",0.8,"spotrac",0.693,0.86625,0.98125,"Undervalued"
"Dillon Dingler",26,115,447,82,"DET",0.8349,"spotrac",0.709,0.849203497424841,0.979166666666667,"Undervalued"
"Julio Rodríguez",19,115,450,52,NA,0.72,"league_minimum_default",0.611,0.848611111111111,0.977083333333333,"Undervalued"
"Jac Caglianone",22,118,425,60,"KC",0.784,"spotrac",0.662,0.844387755102041,0.975,"Undervalued"
"Wilyer Abreu",22,120,467,67,"BOS",0.81,"spotrac",0.668,0.824691358024691,0.972916666666667,"Undervalued"
"Colson Montgomery",26,97,447,71,"CHW",0.7985,"spotrac",0.655,0.820288040075141,0.970833333333333,"Undervalued"
"Drake Baldwin",21,112,403,63,"ATL",0.8,"spotrac",0.63,0.7875,0.96875,"Undervalued"
"TJ Rumfield",13,127,434,60,NA,0.72,"league_minimum_default",0.563,0.781944444444444,0.966666666666667,"Undervalued"
"Jonathan Aranda",15,132,463,76,"TB",0.7964,"spotrac",0.606,0.760924158714214,0.964583333333333,"Undervalued"
"Elly De La Cruz",20,109,421,57,"CIN",0.8,"spotrac",0.607,0.75875,0.9625,"Undervalued"
"Iván Herrera",14,116,472,53,NA,0.72,"league_minimum_default",0.544,0.755555555555556,0.960416666666667,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.958333333333333,"Undervalued"
"Brooks Lee",18,109,447,66,"MIN",0.79305,"spotrac",0.579,0.73009268015888,0.95625,"Undervalued"
"Carson Benge",14,123,455,49,"NYM",0.78,"spotrac",0.565,0.724358974358974,0.954166666666667,"Undervalued"
"Cole Young",15,119,461,56,"SEA",0.7861,"spotrac",0.567,0.721282279608192,0.952083333333333,"Undervalued"
"Kody Clemens",21,95,407,58,"MIN",0.8039,"spotrac",0.579,0.720238835676079,0.95,"Undervalued"
