"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",41,164,592,97,"TB",0.7948,"spotrac",1.066,1.34121791645697,1,"Undervalued"
"Sal Stewart",32,160,598,110,"CIN",0.7815,"spotrac",0.928,1.18746001279591,0.998065764023211,"Undervalued"
"Luis García Jr.",30,141,502,91,NA,0.72,"league_minimum_default",0.843,1.17083333333333,0.996131528046422,"Undervalued"
"Ben Rice",39,144,551,95,"NYY",0.8458,"spotrac",0.978,1.1563017261764,0.994197292069632,"Undervalued"
"Yandy Díaz",22,173,593,81,NA,0.72,"league_minimum_default",0.827,1.14861111111111,0.992263056092843,"Undervalued"
"Hunter Goodman",39,121,494,82,"COL",0.81,"spotrac",0.909,1.12222222222222,0.990328820116054,"Undervalued"
"Miguel Vargas",33,143,570,88,"CHW",0.8057,"spotrac",0.891,1.10587067146581,0.988394584139265,"Undervalued"
"Jordan Walker",28,161,587,100,"STL",0.7994,"spotrac",0.875,1.09457092819615,0.986460348162476,"Undervalued"
"Elly De La Cruz",28,153,536,74,"CIN",0.8,"spotrac",0.851,1.06375,0.984526112185687,"Undervalued"
"James Wood",30,131,495,76,"WSH",0.8069,"spotrac",0.813,1.00755979675301,0.982591876208897,"Undervalued"
"Julio Rodríguez",21,140,575,66,NA,0.72,"league_minimum_default",0.714,0.991666666666667,0.980657640232108,"Undervalued"
"Drake Baldwin",24,149,528,77,"ATL",0.8,"spotrac",0.783,0.97875,0.978723404255319,"Undervalued"
"Jonathan Aranda",22,156,563,92,"TB",0.7964,"spotrac",0.776,0.974384731290808,0.97678916827853,"Undervalued"
"Brooks Lee",24,143,565,82,"MIN",0.79305,"spotrac",0.765,0.964630225080386,0.974854932301741,"Undervalued"
"Colson Montgomery",31,112,546,87,"CHW",0.7985,"spotrac",0.77,0.964308077645585,0.972920696324952,"Undervalued"
"TJ Rumfield",15,159,530,70,NA,0.72,"league_minimum_default",0.687,0.954166666666666,0.970986460348162,"Undervalued"
"Iván Herrera",18,144,583,68,NA,0.72,"league_minimum_default",0.684,0.95,0.969052224371373,"Undervalued"
"Daylen Lile",22,146,586,88,"WSH",0.786,"spotrac",0.746,0.94910941475827,0.967117988394584,"Undervalued"
"Wilyer Abreu",24,144,574,74,"BOS",0.81,"spotrac",0.768,0.948148148148148,0.965183752417795,"Undervalued"
"Carson Benge",19,157,570,61,"NYM",0.78,"spotrac",0.737,0.944871794871795,0.963249516441006,"Undervalued"
"Jac Caglianone",23,138,490,71,"KC",0.784,"spotrac",0.736,0.938775510204082,0.961315280464217,"Undervalued"
"Dillon Dingler",27,132,539,89,"DET",0.8349,"spotrac",0.774,0.92705713259073,0.959381044487427,"Undervalued"
"Kody Clemens",26,121,513,76,"MIN",0.8039,"spotrac",0.727,0.904341335987063,0.957446808510638,"Undervalued"
"Carter Jensen",25,118,507,76,"KC",0.78115,"spotrac",0.704,0.90123535812584,0.955512572533849,"Undervalued"
"Otto Lopez",11,185,607,71,"MIA",0.8105,"spotrac",0.709,0.874768661320173,0.95357833655706,"Undervalued"
"Jeremy Peña",20,116,422,51,NA,0.72,"league_minimum_default",0.628,0.872222222222222,0.951644100580271,"Undervalued"
"Heriberto Hernández",24,97,425,64,NA,0.72,"league_minimum_default",0.627,0.870833333333333,0.949709864603482,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.947775628626692,"Undervalued"
"Mauricio Dubón",11,151,553,70,NA,0.72,"league_minimum_default",0.607,0.843055555555556,0.945841392649903,"Undervalued"
"Dominic Canzone",22,118,452,72,"SEA",0.7966,"spotrac",0.662,0.831031885513432,0.943907156673114,"Undervalued"
"Eugenio Suárez",24,87,416,69,NA,0.72,"league_minimum_default",0.597,0.829166666666666,0.941972920696325,"Undervalued"
"Chase Meidroth",15,148,553,58,"CHW",0.7891,"spotrac",0.654,0.828792295019643,0.940038684719536,"Undervalued"
"Cole Young",17,137,558,65,"SEA",0.7861,"spotrac",0.649,0.825594708052411,0.938104448742747,"Undervalued"
"Liam Hicks",18,132,459,81,"TB",0.79,"spotrac",0.648,0.820253164556962,0.936170212765957,"Undervalued"
"Jazz Chisholm Jr.",19,107,461,55,NA,0.72,"league_minimum_default",0.587,0.815277777777778,0.934235976789168,"Undervalued"
"Ronald Acuña Jr.",20,102,393,55,NA,0.72,"league_minimum_default",0.586,0.813888888888889,0.932301740812379,"Undervalued"
