"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",38,153,547,92,"TB",0.7948,"spotrac",0.991,1.24685455460493,1,"Undervalued"
"Sal Stewart",31,147,552,107,"CIN",0.7815,"spotrac",0.875,1.11964171465131,0.998015873015873,"Undervalued"
"Yandy Díaz",21,167,548,77,NA,0.72,"league_minimum_default",0.795,1.10416666666667,0.996031746031746,"Undervalued"
"Luis García Jr.",28,131,461,88,NA,0.72,"league_minimum_default",0.785,1.09027777777778,0.994047619047619,"Undervalued"
"Jordan Walker",28,157,553,100,"STL",0.7994,"spotrac",0.863,1.07955966975231,0.992063492063492,"Undervalued"
"Ben Rice",36,133,513,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.990079365079365,"Undervalued"
"Hunter Goodman",36,114,458,76,"COL",0.81,"spotrac",0.846,1.04444444444444,0.988095238095238,"Undervalued"
"Miguel Vargas",30,132,523,79,"CHW",0.8057,"spotrac",0.816,1.01278391460841,0.986111111111111,"Undervalued"
"James Wood",30,122,456,74,"WSH",0.8069,"spotrac",0.786,0.974098401288883,0.984126984126984,"Undervalued"
"Colson Montgomery",31,108,510,82,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.982142857142857,"Undervalued"
"Elly De La Cruz",24,139,494,67,"CIN",0.8,"spotrac",0.753,0.94125,0.98015873015873,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.978174603174603,"Undervalued"
"Julio Rodríguez",20,127,528,61,NA,0.72,"league_minimum_default",0.661,0.918055555555556,0.976190476190476,"Undervalued"
"Wilyer Abreu",23,137,538,70,"BOS",0.81,"spotrac",0.733,0.904938271604938,0.974206349206349,"Undervalued"
"TJ Rumfield",15,146,489,67,NA,0.72,"league_minimum_default",0.648,0.9,0.972222222222222,"Undervalued"
"Brooks Lee",23,129,516,79,"MIN",0.79305,"spotrac",0.709,0.894016770695416,0.970238095238095,"Undervalued"
"Jonathan Aranda",19,147,526,86,"TB",0.7964,"spotrac",0.707,0.88774485183325,0.968253968253968,"Undervalued"
"Daylen Lile",20,139,546,82,"WSH",0.786,"spotrac",0.697,0.88676844783715,0.966269841269841,"Undervalued"
"Iván Herrera",16,137,545,64,NA,0.72,"league_minimum_default",0.635,0.881944444444445,0.964285714285714,"Undervalued"
"Dillon Dingler",26,124,506,83,"DET",0.8349,"spotrac",0.736,0.881542699724518,0.962301587301587,"Undervalued"
"Drake Baldwin",22,132,478,69,"ATL",0.8,"spotrac",0.704,0.88,0.96031746031746,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.958333333333333,"Undervalued"
"Carson Benge",16,144,523,54,"NYM",0.78,"spotrac",0.656,0.841025641025641,0.956349206349206,"Undervalued"
"Kody Clemens",24,111,467,71,"MIN",0.8039,"spotrac",0.669,0.832193058838164,0.954365079365079,"Undervalued"
"Heriberto Hernández",24,86,378,63,NA,0.72,"league_minimum_default",0.594,0.825,0.952380952380952,"Undervalued"
"Carter Jensen",22,108,470,68,"KC",0.78115,"spotrac",0.632,0.809063560135697,0.950396825396825,"Undervalued"
"Jazz Chisholm Jr.",19,105,457,55,NA,0.72,"league_minimum_default",0.581,0.806944444444444,0.948412698412698,"Undervalued"
"Otto Lopez",10,170,564,63,"MIA",0.8105,"spotrac",0.65,0.801974090067859,0.946428571428571,"Undervalued"
"Mauricio Dubón",11,135,508,66,NA,0.72,"league_minimum_default",0.559,0.776388888888889,0.944444444444444,"Undervalued"
"Liam Hicks",17,125,434,76,"TB",0.79,"spotrac",0.613,0.775949367088608,0.942460317460317,"Undervalued"
"Cole Young",16,127,519,58,"SEA",0.7861,"spotrac",0.605,0.769622185472586,0.94047619047619,"Undervalued"
"Eugenio Suárez",22,81,387,63,NA,0.72,"league_minimum_default",0.551,0.765277777777778,0.938492063492063,"Undervalued"
"Dominic Canzone",21,103,405,64,"SEA",0.7966,"spotrac",0.603,0.756967110218428,0.936507936507937,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.93452380952381,"Undervalued"
"Jeremy Peña",17,101,373,46,NA,0.72,"league_minimum_default",0.541,0.751388888888889,0.932539682539683,"Undervalued"
"Michael Busch",18,128,543,70,"CHC",0.86,"spotrac",0.636,0.73953488372093,0.930555555555556,"Undervalued"
"Chase DeLauter",13,131,445,60,"CLE",0.78,"spotrac",0.575,0.737179487179487,0.928571428571429,"Undervalued"
"Chase Meidroth",12,137,507,51,"CHW",0.7891,"spotrac",0.579,0.733747307058674,0.926587301587302,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.924603174603175,"Undervalued"
"Tristan Peters",12,111,390,53,NA,0.72,"league_minimum_default",0.501,0.695833333333333,0.922619047619048,"Undervalued"
"Kyle Stowers",19,97,394,60,"MIA",0.8042,"spotrac",0.557,0.692613777667247,0.920634920634921,"Undervalued"
"Nick Gonzales",6,154,504,59,"PIT",0.8016,"spotrac",0.546,0.681137724550898,0.918650793650794,"Undervalued"
"Brayan Rocchio",13,119,482,60,"CLE",0.7976,"spotrac",0.539,0.675777331995988,0.916666666666667,"Undervalued"
"Ronald Acuña Jr.",16,87,344,45,NA,0.72,"league_minimum_default",0.485,0.673611111111111,0.91468253968254,"Undervalued"
"Coby Mayo",21,79,352,58,"BAL",0.7908,"spotrac",0.531,0.671471927162367,0.912698412698413,"Undervalued"
"Teoscar Hernández",13,99,380,55,NA,0.72,"league_minimum_default",0.479,0.665277777777778,0.910714285714286,"Undervalued"
"Cam Smith",17,96,451,50,"HOU",0.8099,"spotrac",0.526,0.649462896653908,0.908730158730159,"Undervalued"
"Luke Keaschall",9,128,465,44,"MIN",0.7882,"spotrac",0.51,0.647043897487947,0.906746031746032,"Undervalued"
"Caleb Durbin",12,114,458,62,"BOS",0.796,"spotrac",0.51,0.64070351758794,0.904761904761905,"Undervalued"
"Bryce Eldridge",15,94,355,48,"SF",0.78,"spotrac",0.492,0.630769230769231,0.902777777777778,"Undervalued"
"Xavier Edwards",6,141,500,51,"MIA",0.804,"spotrac",0.507,0.630597014925373,0.900793650793651,"Undervalued"
"José Caballero",13,89,379,47,NA,0.72,"league_minimum_default",0.449,0.623611111111111,0.898809523809524,"Undervalued"
"José Ramírez",11,97,409,48,NA,0.72,"league_minimum_default",0.445,0.618055555555556,0.896825396825397,"Undervalued"
"Angel Martínez",14,82,338,50,NA,0.72,"league_minimum_default",0.442,0.613888888888889,0.89484126984127,"Undervalued"
"Andrés Giménez",9,103,422,54,NA,0.72,"league_minimum_default",0.435,0.604166666666667,0.892857142857143,"Undervalued"
"Zack Gelof",17,85,331,44,"ATH",0.82,"spotrac",0.493,0.601219512195122,0.890873015873016,"Undervalued"
"Chandler Simpson",0,157,509,31,"TB",0.7851,"spotrac",0.471,0.599923576614444,0.888888888888889,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.886904761904762,"Undervalued"
"Wyatt Langford",15,86,351,36,"TEX",0.805,"spotrac",0.468,0.581366459627329,0.884920634920635,"Undervalued"
"Sam Antonacci",8,113,422,43,"CHW",0.78,"spotrac",0.451,0.578205128205128,0.882936507936508,"Undervalued"
"Javier Sanoja",8,114,391,56,"MIA",0.7915,"spotrac",0.454,0.573594440934934,0.880952380952381,"Undervalued"
"Travis Bazzana",10,95,389,47,"CLE",0.78,"spotrac",0.425,0.544871794871795,0.878968253968254,"Undervalued"
"Jacob Young",10,96,385,45,"WSH",0.7942,"spotrac",0.428,0.538907076303198,0.876984126984127,"Undervalued"
"Nathan Lukes",10,98,360,36,"TOR",0.8085,"spotrac",0.434,0.536796536796537,0.875,"Undervalued"
"Jakob Marsee",9,98,459,32,"MIA",0.786,"spotrac",0.42,0.534351145038168,0.873015873015873,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.871031746031746,"Undervalued"
"Nathan Church",10,92,379,49,"STL",0.78215,"spotrac",0.416,0.531867288883206,0.869047619047619,"Undervalued"
"Henry Bolte",9,96,349,32,"ATH",0.78,"spotrac",0.414,0.530769230769231,0.867063492063492,"Undervalued"
"Kyle Karros",10,91,346,44,"COL",0.782,"spotrac",0.413,0.528132992327366,0.865079365079365,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.863095238095238,"Undervalued"
"Vaughn Grissom",10,87,357,59,"LAA",0.8,"spotrac",0.401,0.50125,0.861111111111111,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.859126984126984,"Undervalued"
