"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",37,151,540,90,"TB",0.7948,"spotrac",0.971,1.22169099144439,1,"Undervalued"
"Sal Stewart",31,144,542,106,"CIN",0.7815,"spotrac",0.866,1.10812539987204,0.998011928429423,"Undervalued"
"Yandy Díaz",21,165,539,76,NA,0.72,"league_minimum_default",0.789,1.09583333333333,0.996023856858847,"Undervalued"
"Luis García Jr.",28,130,457,88,NA,0.72,"league_minimum_default",0.782,1.08611111111111,0.99403578528827,"Undervalued"
"Jordan Walker",28,156,540,100,"STL",0.7994,"spotrac",0.86,1.07580685514136,0.992047713717694,"Undervalued"
"Ben Rice",36,130,506,88,"NYY",0.8458,"spotrac",0.894,1.0569874674864,0.990059642147117,"Undervalued"
"Hunter Goodman",36,113,452,74,"COL",0.81,"spotrac",0.843,1.04074074074074,0.988071570576541,"Undervalued"
"Miguel Vargas",30,129,514,77,"CHW",0.8057,"spotrac",0.807,1.00161350378553,0.986083499005964,"Undervalued"
"James Wood",30,119,446,74,"WSH",0.8069,"spotrac",0.777,0.962944602800843,0.984095427435388,"Undervalued"
"Colson Montgomery",30,107,502,81,"CHW",0.7985,"spotrac",0.741,0.927989981214778,0.982107355864811,"Undervalued"
"Jac Caglianone",23,133,473,69,"KC",0.784,"spotrac",0.721,0.919642857142857,0.980119284294235,"Undervalued"
"Julio Rodríguez",20,126,520,61,NA,0.72,"league_minimum_default",0.658,0.913888888888889,0.978131212723658,"Undervalued"
"Wilyer Abreu",23,136,530,70,"BOS",0.81,"spotrac",0.73,0.901234567901234,0.976143141153082,"Undervalued"
"TJ Rumfield",15,142,481,65,NA,0.72,"league_minimum_default",0.636,0.883333333333333,0.974155069582505,"Undervalued"
"Dillon Dingler",26,123,494,82,"DET",0.8349,"spotrac",0.733,0.877949455024554,0.972166998011928,"Undervalued"
"Daylen Lile",20,135,534,80,"WSH",0.786,"spotrac",0.685,0.871501272264631,0.970178926441352,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.968190854870775,"Undervalued"
"Elly De La Cruz",21,133,482,61,"CIN",0.8,"spotrac",0.693,0.86625,0.966202783300199,"Undervalued"
"Drake Baldwin",22,128,465,69,"ATL",0.8,"spotrac",0.692,0.865,0.964214711729622,"Undervalued"
"Brooks Lee",22,125,505,77,"MIN",0.79305,"spotrac",0.683,0.861231952588109,0.962226640159046,"Undervalued"
"Jonathan Aranda",18,143,517,82,"TB",0.7964,"spotrac",0.681,0.8550979407333,0.960238568588469,"Undervalued"
"Iván Herrera",15,131,532,59,NA,0.72,"league_minimum_default",0.603,0.8375,0.958250497017893,"Undervalued"
"Carson Benge",16,142,511,54,"NYM",0.78,"spotrac",0.65,0.833333333333333,0.956262425447316,"Undervalued"
"Kody Clemens",24,110,457,70,"MIN",0.8039,"spotrac",0.666,0.828461251399428,0.95427435387674,"Undervalued"
"Carter Jensen",22,107,463,67,"KC",0.78115,"spotrac",0.629,0.805223068552775,0.952286282306163,"Undervalued"
"Jazz Chisholm Jr.",19,104,454,55,NA,0.72,"league_minimum_default",0.578,0.802777777777778,0.950298210735587,"Undervalued"
"Heriberto Hernández",23,84,366,61,NA,0.72,"league_minimum_default",0.574,0.797222222222222,0.94831013916501,"Undervalued"
"Otto Lopez",10,166,553,62,"MIA",0.8105,"spotrac",0.638,0.787168414558914,0.946322067594433,"Undervalued"
"Cole Young",16,127,517,58,"SEA",0.7861,"spotrac",0.605,0.769622185472586,0.944333996023857,"Undervalued"
"Liam Hicks",17,123,429,75,"TB",0.79,"spotrac",0.607,0.768354430379747,0.94234592445328,"Undervalued"
"Mauricio Dubón",11,133,497,66,NA,0.72,"league_minimum_default",0.553,0.768055555555555,0.940357852882704,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.938369781312127,"Undervalued"
"Jeremy Peña",17,101,364,46,NA,0.72,"league_minimum_default",0.541,0.751388888888889,0.936381709741551,"Undervalued"
"Dominic Canzone",21,101,397,63,"SEA",0.7966,"spotrac",0.597,0.749435099171479,0.934393638170974,"Undervalued"
"Chase DeLauter",13,131,445,60,"CLE",0.78,"spotrac",0.575,0.737179487179487,0.932405566600398,"Undervalued"
"Eugenio Suárez",21,78,376,62,NA,0.72,"league_minimum_default",0.528,0.733333333333333,0.930417495029821,"Undervalued"
"Michael Busch",18,126,534,69,"CHC",0.86,"spotrac",0.63,0.732558139534884,0.928429423459245,"Undervalued"
"Chase Meidroth",12,136,501,51,"CHW",0.7891,"spotrac",0.576,0.729945507540236,0.926441351888668,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.924453280318091,"Undervalued"
"Tristan Peters",12,107,381,52,NA,0.72,"league_minimum_default",0.489,0.679166666666667,0.922465208747515,"Undervalued"
"Nick Gonzales",6,153,497,59,"PIT",0.8016,"spotrac",0.543,0.677395209580838,0.920477137176938,"Undervalued"
"Kyle Stowers",18,95,384,59,"MIA",0.8042,"spotrac",0.537,0.667744342203432,0.918489065606362,"Undervalued"
"Brayan Rocchio",12,117,473,59,"CLE",0.7976,"spotrac",0.519,0.650702106318957,0.916500994035785,"Undervalued"
"Cam Smith",17,94,444,50,"HOU",0.8099,"spotrac",0.52,0.642054574638844,0.914512922465209,"Undervalued"
"Luke Keaschall",9,125,455,44,"MIN",0.7882,"spotrac",0.501,0.635625475767572,0.912524850894632,"Undervalued"
"Caleb Durbin",12,112,452,62,"BOS",0.796,"spotrac",0.504,0.633165829145729,0.910536779324056,"Undervalued"
"Xavier Edwards",6,141,500,51,"MIA",0.804,"spotrac",0.507,0.630597014925373,0.908548707753479,"Undervalued"
"Teoscar Hernández",12,95,370,50,NA,0.72,"league_minimum_default",0.453,0.629166666666667,0.906560636182903,"Undervalued"
"Coby Mayo",19,76,343,55,"BAL",0.7908,"spotrac",0.494,0.624683864441072,0.904572564612326,"Undervalued"
"José Caballero",13,89,377,47,NA,0.72,"league_minimum_default",0.449,0.623611111111111,0.902584493041749,"Undervalued"
"Ronald Acuña Jr.",14,83,334,40,NA,0.72,"league_minimum_default",0.445,0.618055555555556,0.900596421471173,"Undervalued"
"Bryce Eldridge",15,90,344,45,"SF",0.78,"spotrac",0.48,0.615384615384615,0.898608349900596,"Undervalued"
"José Ramírez",11,96,401,48,NA,0.72,"league_minimum_default",0.442,0.613888888888889,0.89662027833002,"Undervalued"
"Angel Martínez",14,80,327,50,NA,0.72,"league_minimum_default",0.436,0.605555555555556,0.894632206759443,"Undervalued"
"Zack Gelof",17,83,319,42,"ATH",0.82,"spotrac",0.487,0.59390243902439,0.892644135188867,"Undervalued"
"Chandler Simpson",0,155,499,31,"TB",0.7851,"spotrac",0.465,0.592281238058846,0.89065606361829,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.888667992047714,"Undervalued"
"Wyatt Langford",15,86,345,36,"TEX",0.805,"spotrac",0.468,0.581366459627329,0.886679920477137,"Undervalued"
"Andrés Giménez",8,100,412,52,NA,0.72,"league_minimum_default",0.412,0.572222222222222,0.884691848906561,"Undervalued"
"Sam Antonacci",8,110,416,41,"CHW",0.78,"spotrac",0.442,0.566666666666667,0.882703777335984,"Undervalued"
"Travis Bazzana",10,93,385,46,"CLE",0.78,"spotrac",0.419,0.537179487179487,0.880715705765408,"Undervalued"
"Javier Sanoja",7,109,380,53,"MIA",0.7915,"spotrac",0.425,0.536955148452306,0.878727634194831,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.876739562624254,"Undervalued"
"Jacob Young",10,94,378,44,"WSH",0.7942,"spotrac",0.422,0.53135230420549,0.874751491053678,"Undervalued"
"Kyle Karros",10,91,346,44,"COL",0.782,"spotrac",0.413,0.528132992327366,0.872763419483101,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.870775347912525,"Undervalued"
"Nathan Church",10,89,368,47,"STL",0.78215,"spotrac",0.407,0.52036054465256,0.868787276341948,"Undervalued"
"Jakob Marsee",9,94,448,32,"MIA",0.786,"spotrac",0.408,0.519083969465649,0.866799204771372,"Undervalued"
"Nathan Lukes",10,92,347,35,"TOR",0.8085,"spotrac",0.416,0.514533085961657,0.864811133200795,"Undervalued"
"Henry Bolte",8,93,339,30,"ATH",0.78,"spotrac",0.391,0.501282051282051,0.862823061630219,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.860834990059642,"Undervalued"
"Vaughn Grissom",10,86,345,59,"LAA",0.8,"spotrac",0.398,0.4975,0.858846918489066,"Undervalued"
"Esmerlyn Valdez",16,54,226,45,"PIT",0.78,"spotrac",0.386,0.494871794871795,0.856858846918489,"Undervalued"
"Spencer Horwitz",10,84,342,41,"PIT",0.802,"spotrac",0.392,0.488778054862843,0.854870775347913,"Undervalued"
"Heliot Ramos",10,85,355,38,"NYY",0.81,"spotrac",0.395,0.487654320987654,0.852882703777336,"Undervalued"
"Jake Mangum",4,110,382,30,"PIT",0.8002,"spotrac",0.386,0.482379405148713,0.850894632206759,"Undervalued"
"Masyn Winn",5,103,432,51,"STL",0.79945,"spotrac",0.379,0.47407592719995,0.848906560636183,"Undervalued"
"Owen Caissie",13,61,274,52,"MIA",0.7815,"spotrac",0.365,0.467050543825976,0.846918489065606,"Undervalued"
"Troy Johnston",4,103,359,47,"COL",0.782,"spotrac",0.365,0.466751918158568,0.84493041749503,"Undervalued"
"Colton Cowser",13,64,298,37,"BAL",0.8015,"spotrac",0.374,0.46662507797879,0.842942345924453,"Undervalued"
"Garrett Mitchell",9,104,397,55,"MIL",0.95,"spotrac",0.438,0.461052631578947,0.840954274353877,"Undervalued"
"A.J. Ewing",7,86,363,28,"NYM",0.78,"spotrac",0.356,0.456410256410256,0.8389662027833,"Undervalued"
"Griffin Conine",14,54,213,32,"MIA",0.786,"spotrac",0.358,0.455470737913486,0.836978131212724,"Undervalued"
"Ezequiel Duran",17,128,464,77,"TEX",1.375,"spotrac",0.622,0.452363636363636,0.834990059642147,"Undervalued"
"Ty France",20,109,370,62,"SD",1.35,"spotrac",0.607,0.44962962962963,0.833001988071571,"Undervalued"
"Joey Ortiz",8,81,316,42,"MIL",0.7904,"spotrac",0.355,0.44913967611336,0.831013916500994,"Undervalued"
"Joe Mack",12,60,257,40,"MIA",0.78,"spotrac",0.348,0.446153846153846,0.829025844930418,"Undervalued"
"Brett Baty",8,83,373,43,"NYM",0.8115,"spotrac",0.361,0.444855206407887,0.827037773359841,"Undervalued"
"Jonny DeLuca",9,75,289,42,"TB",0.7893,"spotrac",0.351,0.444697833523375,0.825049701789264,"Undervalued"
"Jesús Sánchez",8,69,263,35,NA,0.72,"league_minimum_default",0.319,0.443055555555556,0.823061630218688,"Undervalued"
"Isaac Collins",6,90,398,40,"KC",0.79975,"spotrac",0.354,0.442638324476399,0.821073558648111,"Undervalued"
"Carlos Cortes",8,77,297,38,"ATH",0.78,"spotrac",0.343,0.43974358974359,0.819085487077535,"Undervalued"
"Dylan Crews",10,72,333,34,"WSH",0.82,"spotrac",0.356,0.434146341463415,0.817097415506958,"Undervalued"
"Brady House",10,66,268,41,"WSH",0.7832,"spotrac",0.338,0.431562819203269,0.815109343936382,"Undervalued"
"Mark Vientos",13,54,247,39,"NYM",0.81375,"spotrac",0.344,0.422734254992319,0.813121272365805,"Undervalued"
