"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",35,142,507,84,"TB",0.7948,"spotrac",0.916,1.15249119275289,1,"Undervalued"
"Luis García Jr.",28,123,433,87,NA,0.72,"league_minimum_default",0.761,1.05694444444444,0.997967479674797,"Undervalued"
"Jordan Walker",27,146,510,97,"STL",0.7994,"spotrac",0.816,1.02076557418064,0.995934959349594,"Undervalued"
"Hunter Goodman",36,107,425,72,"COL",0.81,"spotrac",0.825,1.01851851851852,0.99390243902439,"Undervalued"
"Sal Stewart",28,134,513,100,"CIN",0.7815,"spotrac",0.794,1.01599488163788,0.991869918699187,"Undervalued"
"Ben Rice",35,120,475,83,"NYY",0.8458,"spotrac",0.85,1.0049657129345,0.989837398373984,"Undervalued"
"Yandy Díaz",19,152,505,72,NA,0.72,"league_minimum_default",0.722,1.00277777777778,0.98780487804878,"Undervalued"
"Miguel Vargas",29,121,483,76,"CHW",0.8057,"spotrac",0.769,0.954449546977783,0.985772357723577,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.983739837398374,"Undervalued"
"Jac Caglianone",23,125,444,66,"KC",0.784,"spotrac",0.697,0.889030612244898,0.981707317073171,"Undervalued"
"Julio Rodríguez",20,120,485,56,NA,0.72,"league_minimum_default",0.64,0.888888888888889,0.979674796747967,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.977642276422764,"Undervalued"
"Dillon Dingler",26,119,469,82,"DET",0.8349,"spotrac",0.721,0.863576476224698,0.975609756097561,"Undervalued"
"Colson Montgomery",27,100,473,73,"CHW",0.7985,"spotrac",0.678,0.84909204758923,0.973577235772358,"Undervalued"
"Wilyer Abreu",22,125,496,69,"BOS",0.81,"spotrac",0.683,0.84320987654321,0.971544715447154,"Undervalued"
"Drake Baldwin",22,119,434,66,"ATL",0.8,"spotrac",0.665,0.83125,0.969512195121951,"Undervalued"
"Elly De La Cruz",21,121,457,58,"CIN",0.8,"spotrac",0.657,0.82125,0.967479674796748,"Undervalued"
"Brooks Lee",21,117,474,70,"MIN",0.79305,"spotrac",0.645,0.813315679969737,0.965447154471545,"Undervalued"
"Daylen Lile",18,129,514,74,"WSH",0.786,"spotrac",0.639,0.812977099236641,0.963414634146341,"Undervalued"
"Carson Benge",16,135,484,53,"NYM",0.78,"spotrac",0.629,0.806410256410256,0.961382113821138,"Undervalued"
"TJ Rumfield",13,132,456,60,NA,0.72,"league_minimum_default",0.578,0.802777777777778,0.959349593495935,"Undervalued"
"Jonathan Aranda",16,137,490,78,"TB",0.7964,"spotrac",0.635,0.797338021094927,0.957317073170732,"Undervalued"
"Iván Herrera",14,123,502,53,NA,0.72,"league_minimum_default",0.565,0.784722222222222,0.955284552845528,"Undervalued"
"Jazz Chisholm Jr.",18,98,431,53,NA,0.72,"league_minimum_default",0.546,0.758333333333333,0.953252032520325,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.951219512195122,"Undervalued"
