"Name","HR","H","AB","RBI","Team","salary_millions","estimated_war","value_score","status"
"Byron Buxton",17,56,221,27,"MIN",14.285714,0.406,0.0284200005684,"Overvalued"
"Yordan Alvarez",21,71,225,44,"HOU",19.166667,0.507,0.0264521734530057,"Overvalued"
"Corbin Carroll",8,61,215,29,"ARI",13.875,0.295,0.0212612612612613,"Overvalued"
"Matt Olson",17,66,242,46,"ATL",21,0.436,0.0207619047619048,"Overvalued"
"Tyler Soderstrom",7,50,217,28,"ATH",12.285714,0.248,0.0201860469810709,"Overvalued"
"Bryan Reynolds",6,59,218,38,"PIT",13.34375,0.261,0.019559718969555,"Overvalued"
"Willson Contreras",11,59,203,33,"BOS",17.5,0.331,0.0189142857142857,"Overvalued"
"Ronald Acuña Jr.",7,44,177,21,"ATL",12.5,0.23,0.0184,"Overvalued"
"Ketel Marte",10,59,228,36,"ARI",19.416667,0.317,0.016326179977233,"Overvalued"
"Kyle Schwarber",23,51,219,40,"PHI",30,0.475,0.0158333333333333,"Overvalued"
"Will Smith",6,42,168,23,"LAD",14,0.21,0.015,"Overvalued"
"Pete Crow-Armstrong",8,55,228,28,"CHC",19.166667,0.277,0.0144521736617013,"Overvalued"
"Bryce Harper",14,55,213,36,"PHI",25.384615,0.361,0.014221212336685,"Overvalued"
"Andrew Benintendi",6,43,179,29,"CHW",15,0.213,0.0142,"Overvalued"
"Seiya Suzuki",8,43,180,20,"CHC",17,0.241,0.0141764705882353,"Overvalued"
"Josh Naylor",6,57,228,25,"SEA",18.5,0.255,0.0137837837837838,"Overvalued"
"Brandon Nimmo",7,59,233,22,"TEX",20.25,0.275,0.0135802469135802,"Overvalued"
"Jackson Merrill",5,44,214,22,"SD",15,0.202,0.0134666666666667,"Overvalued"
"Konnor Griffin",4,51,189,22,"PIT",15.555556,0.209,0.0134357139018367,"Overvalued"
"Bobby Witt Jr.",9,69,244,26,"KC",26.252525,0.333,0.012684494158181,"Overvalued"
"Kevin McGonigle",3,65,226,21,"DET",18.75,0.237,0.01264,"Overvalued"
"Jung Hoo Lee",3,63,203,20,"SF",18.833333,0.231,0.012265486942752,"Overvalued"
"Austin Riley",8,47,226,32,"ATL",21.2,0.253,0.0119339622641509,"Overvalued"
"José Ramírez",9,57,233,32,"CLE",25,0.297,0.01188,"Overvalued"
"Willy Adames",9,59,244,24,"SF",26,0.303,0.0116538461538462,"Overvalued"
