"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",37,149,531,88,"TB",0.7948,"spotrac",0.965,1.21414192249623,1,"Undervalued"
"Sal Stewart",31,143,538,105,"CIN",0.7815,"spotrac",0.863,1.10428662827895,0.998003992015968,"Undervalued"
"Luis García Jr.",28,129,453,88,NA,0.72,"league_minimum_default",0.779,1.08194444444444,0.996007984031936,"Undervalued"
"Yandy Díaz",21,160,530,76,NA,0.72,"league_minimum_default",0.774,1.075,0.994011976047904,"Undervalued"
"Jordan Walker",28,153,532,99,"STL",0.7994,"spotrac",0.851,1.06454841130848,0.992015968063872,"Undervalued"
"Hunter Goodman",36,113,449,73,"COL",0.81,"spotrac",0.843,1.04074074074074,0.99001996007984,"Undervalued"
"Ben Rice",35,127,502,87,"NYY",0.8458,"spotrac",0.871,1.029794277607,0.988023952095808,"Undervalued"
"Miguel Vargas",29,126,506,76,"CHW",0.8057,"spotrac",0.784,0.973066898349261,0.986027944111776,"Undervalued"
"James Wood",30,117,441,73,"WSH",0.8069,"spotrac",0.771,0.955508737142149,0.984031936127745,"Undervalued"
"Jac Caglianone",23,131,465,67,"KC",0.784,"spotrac",0.715,0.911989795918367,0.982035928143713,"Undervalued"
"Julio Rodríguez",20,125,511,58,NA,0.72,"league_minimum_default",0.655,0.909722222222222,0.980039920159681,"Undervalued"
"Colson Montgomery",29,106,494,79,"CHW",0.7985,"spotrac",0.724,0.906700062617407,0.978043912175649,"Undervalued"
"Wilyer Abreu",23,136,524,70,"BOS",0.81,"spotrac",0.73,0.901234567901234,0.976047904191617,"Undervalued"
"Daylen Lile",20,135,532,80,"WSH",0.786,"spotrac",0.685,0.871501272264631,0.974051896207585,"Undervalued"
"Dillon Dingler",26,121,487,82,"DET",0.8349,"spotrac",0.727,0.870762965624626,0.972055888223553,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.970059880239521,"Undervalued"
"Drake Baldwin",22,127,460,69,"ATL",0.8,"spotrac",0.689,0.86125,0.968063872255489,"Undervalued"
"Brooks Lee",22,125,501,77,"MIN",0.79305,"spotrac",0.683,0.861231952588109,0.966067864271457,"Undervalued"
"Elly De La Cruz",21,130,477,60,"CIN",0.8,"spotrac",0.684,0.855,0.964071856287425,"Undervalued"
"TJ Rumfield",14,139,477,64,NA,0.72,"league_minimum_default",0.613,0.851388888888889,0.962075848303393,"Undervalued"
"Jonathan Aranda",17,141,510,80,"TB",0.7964,"spotrac",0.661,0.829984932194877,0.960079840319361,"Undervalued"
"Carson Benge",16,141,507,54,"NYM",0.78,"spotrac",0.647,0.829487179487179,0.958083832335329,"Undervalued"
"Kody Clemens",24,107,453,70,"MIN",0.8039,"spotrac",0.657,0.817265829083219,0.956087824351297,"Undervalued"
"Jazz Chisholm Jr.",19,104,451,55,NA,0.72,"league_minimum_default",0.578,0.802777777777778,0.954091816367265,"Undervalued"
"Iván Herrera",14,127,522,56,NA,0.72,"league_minimum_default",0.577,0.801388888888889,0.952095808383233,"Undervalued"
"Otto Lopez",10,166,546,62,"MIA",0.8105,"spotrac",0.638,0.787168414558914,0.950099800399202,"Undervalued"
"Heriberto Hernández",22,83,358,60,NA,0.72,"league_minimum_default",0.557,0.773611111111111,0.94810379241517,"Undervalued"
"Carter Jensen",21,103,455,64,"KC",0.78115,"spotrac",0.603,0.771938808167445,0.946107784431138,"Undervalued"
"Liam Hicks",17,122,425,75,"TB",0.79,"spotrac",0.604,0.764556962025316,0.944111776447106,"Undervalued"
"Cole Young",16,124,508,57,"SEA",0.7861,"spotrac",0.596,0.75817326039944,0.942115768463074,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.940119760479042,"Undervalued"
"Jeremy Peña",17,100,356,46,NA,0.72,"league_minimum_default",0.538,0.747222222222222,0.93812375249501,"Undervalued"
"Dominic Canzone",21,99,388,63,"SEA",0.7966,"spotrac",0.591,0.741903088124529,0.936127744510978,"Undervalued"
"Mauricio Dubón",10,131,493,64,NA,0.72,"league_minimum_default",0.533,0.740277777777778,0.934131736526946,"Undervalued"
"Chase DeLauter",13,128,435,60,"CLE",0.78,"spotrac",0.566,0.725641025641026,0.932135728542914,"Undervalued"
"Chase Meidroth",12,134,494,51,"CHW",0.7891,"spotrac",0.57,0.722341908503358,0.930139720558882,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.92814371257485,"Undervalued"
"Michael Busch",17,125,527,68,"CHC",0.86,"spotrac",0.613,0.712790697674419,0.926147704590818,"Undervalued"
"Eugenio Suárez",20,77,373,59,NA,0.72,"league_minimum_default",0.511,0.709722222222222,0.924151696606786,"Undervalued"
"Nick Gonzales",6,152,491,59,"PIT",0.8016,"spotrac",0.54,0.673652694610778,0.922155688622755,"Undervalued"
"Tristan Peters",12,105,376,52,NA,0.72,"league_minimum_default",0.483,0.670833333333333,0.920159680638723,"Undervalued"
"Kyle Stowers",18,94,381,59,"MIA",0.8042,"spotrac",0.534,0.66401392688386,0.918163672654691,"Undervalued"
"Cam Smith",17,94,441,50,"HOU",0.8099,"spotrac",0.52,0.642054574638844,0.916167664670659,"Undervalued"
"Luke Keaschall",9,125,450,44,"MIN",0.7882,"spotrac",0.501,0.635625475767572,0.914171656686627,"Undervalued"
"Caleb Durbin",12,112,446,62,"BOS",0.796,"spotrac",0.504,0.633165829145729,0.912175648702595,"Undervalued"
"Xavier Edwards",6,141,500,51,"MIA",0.804,"spotrac",0.507,0.630597014925373,0.910179640718563,"Undervalued"
"José Caballero",13,89,377,47,NA,0.72,"league_minimum_default",0.449,0.623611111111111,0.908183632734531,"Undervalued"
"Coby Mayo",19,74,337,55,"BAL",0.7908,"spotrac",0.488,0.617096611026808,0.906187624750499,"Undervalued"
"Teoscar Hernández",12,92,364,46,NA,0.72,"league_minimum_default",0.444,0.616666666666667,0.904191616766467,"Undervalued"
"Bryce Eldridge",15,89,338,45,"SF",0.78,"spotrac",0.477,0.611538461538462,0.902195608782435,"Undervalued"
"José Ramírez",11,94,389,48,NA,0.72,"league_minimum_default",0.436,0.605555555555556,0.896207584830339,"Undervalued"
"Angel Martínez",14,80,324,50,NA,0.72,"league_minimum_default",0.436,0.605555555555556,0.896207584830339,"Undervalued"
"Ronald Acuña Jr.",14,80,329,39,NA,0.72,"league_minimum_default",0.436,0.605555555555556,0.896207584830339,"Undervalued"
"Brayan Rocchio",10,114,463,54,"CLE",0.7976,"spotrac",0.482,0.604312938816449,0.894211576846307,"Undervalued"
"Chandler Simpson",0,153,491,31,"TB",0.7851,"spotrac",0.459,0.584638899503248,0.892215568862275,"Undervalued"
"Curtis Mead",17,72,285,48,"BOS",0.78,"spotrac",0.454,0.582051282051282,0.890219560878243,"Undervalued"
"Wyatt Langford",15,85,338,36,"TEX",0.805,"spotrac",0.465,0.577639751552795,0.888223552894212,"Undervalued"
"Andrés Giménez",8,99,407,52,NA,0.72,"league_minimum_default",0.409,0.568055555555556,0.88622754491018,"Undervalued"
"Sam Antonacci",8,108,408,40,"CHW",0.78,"spotrac",0.436,0.558974358974359,0.884231536926148,"Undervalued"
"Zack Gelof",15,79,309,39,"ATH",0.82,"spotrac",0.447,0.545121951219512,0.882235528942116,"Undervalued"
"Kyle Manzardo",13,67,312,39,NA,0.72,"league_minimum_default",0.383,0.531944444444444,0.880239520958084,"Undervalued"
"Jacob Young",10,94,378,44,"WSH",0.7942,"spotrac",0.422,0.53135230420549,0.878243512974052,"Undervalued"
"Javier Sanoja",7,107,373,53,"MIA",0.7915,"spotrac",0.419,0.529374605180038,0.87624750499002,"Undervalued"
"Kyle Karros",10,91,346,44,"COL",0.782,"spotrac",0.413,0.528132992327366,0.874251497005988,"Undervalued"
"Nolan Schanuel",7,108,392,49,"LAA",0.81,"spotrac",0.422,0.520987654320987,0.872255489021956,"Undervalued"
"Jakob Marsee",9,93,444,32,"MIA",0.786,"spotrac",0.405,0.515267175572519,0.870259481037924,"Undervalued"
"Nathan Church",10,87,360,47,"STL",0.78215,"spotrac",0.401,0.512689381832129,0.868263473053892,"Undervalued"
"Travis Bazzana",9,89,378,42,"CLE",0.78,"spotrac",0.393,0.503846153846154,0.86626746506986,"Undervalued"
"Nathan Lukes",10,89,338,33,"TOR",0.8085,"spotrac",0.407,0.503401360544218,0.864271457085828,"Undervalued"
"Jorge Soler",12,64,316,49,NA,0.72,"league_minimum_default",0.36,0.5,0.862275449101796,"Undervalued"
"Esmerlyn Valdez",16,54,226,45,"PIT",0.78,"spotrac",0.386,0.494871794871795,0.860279441117764,"Undervalued"
"Vaughn Grissom",10,85,342,59,"LAA",0.8,"spotrac",0.395,0.49375,0.858283433133733,"Undervalued"
"Henry Bolte",8,91,332,30,"ATH",0.78,"spotrac",0.385,0.493589743589744,0.856287425149701,"Undervalued"
