layer,Team,AAV
Colson Montgomery,CHW,"$798,500"
Abner Uribe,MIL,"$798,300"
Janson Junk,MIA,"$798,000"
Brayan Rocchio,CLE,"$797,600"
James Outman,DET,"$797,550"
Jordan Leasure,CHW,"$797,550"
Alec Marsh,KC,"$797,500"
Chris Murphy,CHW,"$797,250"
Mason Fluharty,TOR,"$797,000"
Pedro Pages,STL,"$796,900"
Jose Ferrer,SEA,"$796,600"
Braydon Fisher,TOR,"$796,600"
Dominic Canzone,SEA,"$796,600"
Joey Cantillo,CLE,"$796,600"
Jonathan Aranda,TB,"$796,400"
Chad Patrick,MIL,"$796,400"
Simeon Woods-Richardson,TOR,"$796,250"
Brant Hurter,DET,"$796,200"
Caleb Durbin,BOS,"$796,000"
Kyle Leahy,STL,"$795,600"
Slade Cecconi,CLE,"$795,600"
Braxton Ashcraft,PIT,"$795,100"
Riley O'Brien,STL,"$795,050"
Mike Vasil,CHW,"$795,050"
Junior Caminero,TB,"$794,800"
Kody Funderburk,MIN,"$794,700"
Jacob Young,WSH,"$794,200"
Jack Leiter,TEX,"$794,000"
Connor Norby,COL,"$794,000"
Tyler Phillips,MIA,"$794,000"
Manuel Rodriguez,TB,"$793,600"
Jacob Latz,TEX,"$793,500"
George Soriano,STL,"$793,350"
Emerson Hancock,SEA,"$793,300"
Stephen Kolek,KC,"$793,250"
Sean Burke,CHW,"$793,200"
Brooks Lee,MIN,"$793,050"
Cody Bradford,TEX,"$793,000"
Mason Montgomery,PIT,"$793,000"
Blaze Alexander,BAL,"$792,800"
Brent Headrick,NYY,"$792,675"
Michael Petersen,MIA,"$792,500"
Jose Fermin,STL,"$792,350"
Dedniel Nunez,NYM,"$792,000"
Agustin Ramirez,MIA,"$792,000"
Erik Sabrowski,CLE,"$791,600"
Nolan McLean,NYM,"$791,500"
Evan Carter,TEX,"$791,500"
Lake Bachar,PIT,"$791,500"
Javier Sanoja,MIA,"$791,500"
Esteury Ruiz,MIA,"$791,500"
Justin Slaten,BOS,"$791,500"
David Festa,MIN,"$791,200"
Coby Mayo,BAL,"$790,800"
A.J. Blubaugh,HOU,"$790,700"
Austin Martin,MIN,"$790,650"
Jorbit Vivas,WSH,"$790,600"
Joey Ortiz,MIL,"$790,400"
Carlos Vargas,SEA,"$790,100"
Liam Hicks,TB,"$790,000"
Will Klein,LAD,"$790,000"
Edgardo Henriquez,LAD,"$790,000"
Justin Wrobleski,LAD,"$790,000"
Dalton Rushing,LAD,"$790,000"
Ryan Johnson,LAA,"$790,000"
Victor Vodnik,MIA,"$790,000"
Rhett Lowder,CIN,"$790,000"
Noelvi Marte,CIN,"$790,000"
Jovani Moran,BOS,"$790,000"
Connelly Early,WSH,"$789,500"
Jonny DeLuca,TB,"$789,300"
Brooks Baldwin,CHW,"$789,250"
Chase Meidroth,CHW,"$789,100"
Kumar Rocker,TEX,"$789,000"
Trey Yesavage,TOR,"$788,800"
Trey Sweeney,DET,"$788,700"
Jeremiah Jackson,BAL,"$788,700"
Drew Thorpe,CHW,"$788,600"
Graham Pauley,MIA,"$788,500"
Parker Messick,CLE,"$788,400"
Jacob Misiorowski,MIL,"$788,300"
Luke Keaschall,MIN,"$788,200"
Kyle Teel,CHW,"$788,050"
Cole Winn,TEX,"$788,000"
David Morgan,SD,"$788,000"
D.L. Hall,MIL,"$788,000"
Heriberto Hernandez,MIA,"$788,000"
Angel Martinez,CLE,"$788,000"
Casey Legumina,TB,"$787,900"
Grant Taylor,CHW,"$787,900"
Tim Tawa,ARI,"$787,700"
Hunter Dobbins,STL,"$787,600"
Chris Roycroft,TB,"$787,500"
Moises Ballesteros,LAA,"$787,500"
Edgar Quero,CHW,"$787,450"
Dylan Beavers,BAL,"$787,400"
David Hamilton,MIL,"$787,300"
Bubba Chandler,PIT,"$787,200"
Andrew Saalfrank,ARI,"$786,900"
Nick Loftin,KC,"$786,750"
Leonardo Rivas,SEA,"$786,200"
Cole Young,SEA,"$786,100"
Kyle Harrison,MIL,"$786,100"
Daylen Lile,WSH,"$786,000"
Adam Mazur,MIA,"$786,000"
Jakob Marsee,MIA,"$786,000"
Griffin Conine,MIA,"$786,000"
Luisangel Acuna,CHW,"$785,950"
Logan Evans,SEA,"$785,800"
Yaramil Hiraldo,BAL,"$785,800"
Ben Williamson,TB,"$785,700"
Tyler Locklear,ARI,"$785,700"
Troy Melton,DET,"$785,500"
Clayton Beeter,WSH,"$785,225"
Colin Selby,BAL,"$785,200"
Brad Lord,WSH,"$785,200"
Ky Bush,CHW,"$785,200"
Prelander Berroa,CHW,"$785,200"
Chandler Simpson,TB,"$785,100"
Juan Morillo,ARI,"$785,100"
Joel Peguero,SF,"$785,000"
Jonathan Bowlan,PHI,"$785,000"
Jeff Criswell,COL,"$785,000"
Jordan Beck,COL,"$785,000"
Chase Burns,CIN,"$785,000"
J.T. Ginn,ATH,"$785,000"
Hogan Harris,ATH,"$785,000"
Nick Kurtz,ATH,"$785,000"
Gordon Graceffo,STL,"$784,550"
Michael McGreevy,STL,"$784,550"
Jose Tena,WSH,"$784,400"
Jackson Jobe,DET,"$784,300"
DJ Herz,WSH,"$784,200"
Bailey Horn,DET,"$784,100"
Jac Caglianone,KC,"$784,000"
Ian Seymour,TB,"$783,800"
Blake Walston,ARI,"$783,700"
Sawyer Gipson-Long,DET,"$783,600"
Jorge Barrosa,ARI,"$783,600"
Jordan Lawlar,ARI,"$783,600"
Marcelo Mayer,SF,"$783,500"
Travis Adams,MIN,"$783,300"
Brady House,WSH,"$783,200"
Nasim Nunez,WSH,"$783,100"
Brandon Lockridge,MIL,"$783,100"
Tyler Tolbert,KC,"$783,000"
Yoendrys Gomez,MIN,"$783,000"
Bradgley Rodriguez,SD,"$782,800"
Drew Millas,WSH,"$782,700"
Mick Abel,MIN,"$782,500"
Brice Matthews,HOU,"$782,400"
Nathan Church,STL,"$782,150"
Pierson Ohl,COL,"$782,000"
Hunter Feduccia,LAD,"$782,000"
Anthony Seigler,BOS,"$782,000"
Troy Johnston,COL,"$782,000"
Chase Dollander,COL,"$782,000"
Kyle Karros,COL,"$782,000"
McCade Brown,COL,"$782,000"
Jaden Hill,COL,"$782,000"
Zach Agnos,COL,"$782,000"
Juan Mejia,COL,"$782,000"
Cristian Mena,ARI,"$782,000"
P.J. Poulin,WSH,"$781,900"
Craig Yoho,CLE,"$781,600"
Bryan Hudson,CHW,"$781,506"
Sal Stewart,CIN,"$781,500"
Owen Caissie,MIA,"$781,500"
Carter Jensen,KC,"$781,150"
Carson Williams,TB,"$780,800"
Jarred Kelenic,TEX,"$780,000"
Andrew Knizner,SF,"$780,000"
Bryse Wilson,MIL,"$780,000"
Tanner Rainey,DET,"$780,000"
Michael Toglia,CIN,"$780,000"
Sammy Peralta,LAA,"$780,000"
Zack Littell,ARI,"$780,000"
Austin Hays,SD,"$780,000"
Jack Weisenburger,NYM,"$780,000"
Ji-Hwan Bae,MIL,"$780,000"
Craig Kimbrel,KC,"$780,000"
Hagen Smith,CHW,"$780,000"
Brett Bateman,TOR,"$780,000"
Trent Harris,SF,"$780,000"
Kaelen Culpepper,MIN,"$780,000"
Ronny Simon,PIT,"$780,000"
Andrew Pinckney,WSH,"$780,000"
George Lombard Jr.,NYY,"$780,000"
Nathan Lavender,NYM,"$780,000"
Blake Weiman,LAA,"$780,000"
Parker Mushinski,COL,"$780,000"
Robert Stock,NYM,"$780,000"
Nate Furman,SF,"$780,000"
Luke Murphy,LAA,"$780,000"
Max Clark,DET,"$780,000"
Peter Strzelecki,STL,"$780,000"
Osleivis Basabe,SF,"$780,000"
Bradley Hanner,NYY,"$780,000"
Gerardo Carrillo,ARI,"$780,000"
Khristian Curtis,PIT,"$780,000"
Robby Ahlstrom,TEX,"$780,000"
Scott Blewett,ATH,"$780,000"
Tommy White,ATH,"$780,000"
Yunior Tur,ATH,"$780,000"
Tom Cosgrove,WSH,"$780,000"
Luis Gastelum,STL,"$780,000"
Luis Rengifo,SD,"$780,000"
Brian Serven,ATH,"$780,000"
Ben Peoples,TEX,"$780,000"
Jefry Yan,NYM,"$780,000"
Cameron Cauley,TEX,"$780,000"
Joshua Kuroda-Grauer,ATH,"$780,000"
Drew Cavanaugh,SF,"$780,000"
Ben Malgeri,DET,"$780,000"
Julian Garcia,CIN,"$780,000"
Brian Navarreto,MIA,"$780,000"
Weston Wilson,SEA,"$780,000"
Max Rajcic,STL,"$780,000"
Randy Dobnak,KC,"$780,000"
Blaze Jordan,STL,"$780,000"
Michael Rucker,SEA,"$780,000"
Cole Carrigg,COL,"$780,000"
Braden Montgomery,CHW,"$780,000"
Max Kepler,ARI,"$780,000"
Elias Diaz,TEX,"$780,000"
Nick Frasso,COL,"$780,000"
Samy Natera Jr.,LAA,"$780,000"
Samad Taylor,SD,"$780,000"
Jase Bowen,SD,"$780,000"
Beck Way,KC,"$780,000"
Buddy Kennedy,SF,"$780,000"
Tyler Zuber,MIA,"$780,000"
Mike Paredes,MIN,"$780,000"
Cionel Perez,NYM,"$780,000"
Charles McAdoo,TOR,"$780,000"
Nicky Lopez,TEX,"$780,000"
Jon Heasley,TB,"$780,000"
Gage Jump,ATH,"$780,000"
Will Dion,WSH,"$780,000"
Tommy Troy,ARI,"$780,000"
Victor Bericoto,SF,"$780,000"
Wade Meckler,LAA,"$780,000"
Donnie Walton,ATH,"$780,000"
Zac Thornton,NYM,"$780,000"
Victor Mederos,ATL,"$780,000"
Daniel Duarte,NYM,"$780,000"
Yovanny Cruz,WSH,"$780,000"
Alika Williams,ATH,"$780,000"
A.J. Ewing,NYM,"$780,000"
Henry Bolte,ATH,"$780,000"
Josh Walker,BAL,"$780,000"
Robby Snelling,MIA,"$780,000"
Ryan Waldschmidt,ARI,"$780,000"
Jim Jarvis,ATL,"$780,000"
Brooks Kriske,ATH,"$780,000"
Randal Grichuk,CHW,"$780,000"
Josh Ekness,MIA,"$780,000"
Nick Davila,SEA,"$780,000"
Brian Fitzpatrick,MIL,"$780,000"
Travis Bazzana,CLE,"$780,000"
Sebastian Rivero,LAA,"$780,000"
Drew Romo,CHW,"$780,000"
Peyton Gray,TEX,"$780,000"
Will Wilson,SEA,"$780,000"
Sam Antonacci,CHW,"$780,000"
Joel Kuhnel,MIL,"$780,000"
George Klassen,LAA,"$780,000"
Dylan Smith,SF,"$780,000"
Leonardo Jimenez,MIA,"$780,000"
Curtis Mead,BOS,"$780,000"
Cam Booser,TB,"$780,000"
Justin Crawford,PHI,"$780,000"
Ryan Rolison,CHC,"$780,000"
JJ Wetherholt,STL,"$780,000"
T.J. Rumfield,COL,"$780,000"
Kevin McGonigle,DET,"$780,000"
Carson Benge,NYM,"$780,000"
Victor Mesa Jr.,TB,"$780,000"
Jhonny Pereda,SEA,"$780,000"
Eric Wagaman,NYM,"$780,000"
Ryan Watson,LAA,"$780,000"
Carter Baumler,TEX,"$780,000"
Spencer Miles,TOR,"$780,000"
Daniel Susac,SF,"$780,000"
RJ Petit,COL,"$780,000"
Christian Franklin,BAL,"$780,000"
Jake Bennett,BOS,"$780,000"
Abimelec Ortiz,WSH,"$780,000"
Alex Hoppe,BAL,"$780,000"
Esmerlyn Valdez,PIT,"$780,000"
Andrew Painter,PHI,"$780,000"
Alexander McFarlane,PHI,"$780,000"
Spencer Jones,NYY,"$780,000"
Andrew Morris,MIN,"$780,000"
Connor Prielipp,MIN,"$780,000"
William Kempner,MIA,"$780,000"
Joe Mack,MIA,"$780,000"
Walbert Urena,LAA,"$780,000"
Eduardo Valencia,DET,"$780,000"
Hao-Yu Lee,DET,"$780,000"
Welinton Herrera,COL,"$780,000"
Gabriel Hughes,COL,"$780,000"
Angel Genao,CLE,"$780,000"
Hector Rodriguez,CIN,"$780,000"
Tanner Murray,CHW,"$780,000"
Tanner McDougal,CHW,"$780,000"
Riley Martin,CHC,"$780,000"
James Triantos,CHC,"$780,000"
Pedro Ramirez,CHC,"$780,000"
Shane Drohan,MIL,"$780,000"
Mitch Bratt,ARI,"$780,000"
Mason Black,KC,"$780,000"
Kervin Castro,NYY,"$780,000"
Bryan Torres,STL,"$780,000"
Cole Wilcox,SEA,"$780,000"
Chase DeLauter,CLE,"$780,000"
Andrew Alvarez,WSH,"$780,000"
Jonatan Clase,TOR,"$780,000"
Justin Foscue,TEX,"$780,000"
Jose Corniell,TEX,"$780,000"
Michael Helman,TEX,"$780,000"
Cesar Prieto,STL,"$780,000"
Jimmy Crooks III,STL,"$780,000"
Blas Castano,COL,"$780,000"
Harry Ford,WSH,"$780,000"
Jesus Rodriguez,SF,"$780,000"
Carson Whisenhunt,SF,"$780,000"
Bryce Eldridge,SF,"$780,000"
Drew Gilbert,SF,"$780,000"
Carson Seymour,SF,"$780,000"
Trevor McDonald,SF,"$780,000"
Grant McCray,SF,"$780,000"
Blade Tidwell,SF,"$780,000"
Cam Sanders,BAL,"$780,000"
Rafael Flores,PIT,"$780,000"
Chase Shugart,PHI,"$780,000"
Evan Sisk,PIT,"$780,000"
Seth Johnson,ATH,"$780,000"
Yerry De Los Santos,NYY,"$780,000"
Jonathan Pintaro,NYM,"$780,000"
Christian Scott,NYM,"$780,000"
Alan Roden,MIN,"$780,000"
Logan Henderson,MIL,"$780,000"
Ryan Gusto,MIA,"$780,000"
Josh Simpson,SEA,"$780,000"
Cade Gibson,MIA,"$780,000"
Denzer Guzman,LAA,"$780,000"
Jose Fermin,LAA,"$780,000"
Ryan Zeferjahn,CHC,"$780,000"
Luinder Avila,KC,"$780,000"
John Rave,KC,"$780,000"
Steven Cruz,KC,"$780,000"
Drew Sommers,DET,"$780,000"
Chase Lee,TOR,"$780,000"
Zac Veen,COL,"$780,000"
Seth Halvorsen,LAD,"$780,000"
Tanner Gordon,COL,"$780,000"
Franco Aleman,CLE,"$780,000"
Petey Halpin,CLE,"$780,000"
Blake Dunn,CIN,"$780,000"
Luis Mey,CIN,"$780,000"
Gavin Hollowell,CHC,"$780,000"
Jhostynxon Garcia,PIT,"$780,000"
Payton Tolle,BOS,"$780,000"
Nick Sogard,BOS,"$780,000"
Chayce McDermott,NYM,"$780,000"
Brandon Young,BAL,"$780,000"
Dylan Dodd,ATL,"$780,000"
Brady Basso,ATH,"$780,000"
Max Muncy,ATH,"$780,000"
Justin Sterner,ATH,"$780,000"
Elvis Alvarado,ATH,"$780,000"
Carlos Cortes,ATH,"$780,000"
Mason Barnett,ATH,"$780,000"
Gunnar Hoglund,ATH,"$780,000"
Jacob Lopez,ATH,"$780,000"
Denzel Clarke,ATH,"$780,000"
Jack Perkins,ATH,"$780,000"
Philip Abner,ARI,"$780,000"
Yilber Diaz,DET,"$780,000"
Brandyn Garcia,ARI,"$780,000"
Luis Ortiz,CLE,
