layer,Team,AAV
Brandon Pfaadt,ARI,"$9,000,000"
Geraldo Perdomo,ARI,"$11,250,000"
Jordan Hicks,CHW,"$11,000,000"
Jurickson Profar,ATL,"$14,000,000"
Lourdes Gurriel Jr.,ARI,"$14,000,000"
Merrill Kelly,ARI,"$20,000,000"
Jorge Polanco,NYM,"$20,000,000"
Clay Holmes,CHC,"$12,666,667"
Chris Sale,ATL,"$19,000,000"
Tyler Rogers,TOR,"$12,333,333"
Joc Pederson,TEX,"$18,500,000"
Jack Flaherty,DET,"$17,500,000"
Ozzie Albies,ATL,"$5,000,000"
Munetaka Murakami,CHW,"$17,000,000"
Jeff Hoffman,MIN,"$11,000,000"
Robert Stephenson,LAA,"$11,000,000"
Tarik Skubal,LAD,"$32,000,000"
Luis Lara,MIL,"$4,428,571"
Jeffrey Springs,ATH,"$7,750,000"
Cody Ponce,TOR,"$10,000,000"
Reynaldo Lopez,ATL,"$10,000,000"
Ryan O'Hearn,PIT,"$14,500,000"
Matthew Boyd,CHC,"$14,500,000"
Colt Keith,DET,"$4,773,750"
Ryan Helsley,BAL,"$14,000,000"
Yuki Matsui,SD,"$5,600,000"
Chris Sale,ATL,"$27,000,000"
Shane Bieber,TOR,"$13,000,000"
Joe Jimenez,ATL,"$8,666,667"
Salvador Perez,KC,"$12,500,000"
Myles Straw,TOR,"$5,000,000"
Max Muncy,LAD,"$12,000,000"
Brandon Lowe,PIT,"$4,000,000"
Mike Yastrzemski,ATL,"$11,500,000"
Carlos Estevez,KC,"$11,100,000"
Zac Gallen,ARI,"$22,025,000"
Shota Imanaga,CHC,"$22,025,000"
Gleyber Torres,DET,"$22,025,000"
Brandon Woodruff,MIL,"$22,025,000"
Trent Grisham,NYY,"$22,025,000"
Luke Weaver,PIT,"$11,000,000"
Brad Keller,PHI,"$11,000,000"
Adrian Houser,SF,"$11,000,000"
A.J. Minter,MIN,"$11,000,000"
Blake Treinen,LAD,"$11,000,000"
Jose Alvarado,PHI,"$7,333,333"
Harrison Bader,SF,"$10,250,000"
Aaron Ashby,MIL,"$4,100,000"
Seranthony Dominguez,SEA,"$10,000,000"
Ha-seong Kim,ATL,"$20,000,000"
Emilio Pagan,CIN,"$10,000,000"
Emmanuel Clase,CLE,"$4,000,000"
Kyle Finnegan,DET,"$9,500,000"
Garrett Whitlock,BOS,"$4,687,500"
Chris Bassitt,BAL,"$18,500,000"
Patrick Sandoval,BOS,"$9,125,000"
Justin Martinez,ARI,"$3,600,000"
Wandy Peralta,SD,"$4,125,000"
Mickey Moniak,COL,"$8,125,000"
Raisel Iglesias,ATL,"$16,000,000"
Randy Arozarena,SEA,"$15,650,000"
Freddy Peralta,TB,"$3,100,000"
Eugenio Suarez,CIN,"$15,000,000"
Steven Matz,TB,"$7,500,000"
Sung Mun Song,SD,"$3,750,000"
Yimi Garcia,TOR,"$7,500,000"
Danny Jansen,TEX,"$7,250,000"
Phil Maton,CHC,"$7,250,000"
Victor Caratini,MIN,"$7,000,000"
Trevor Williams,WSH,"$7,000,000"
Kyle Higashioka,TEX,"$6,750,000"
Aroldis Chapman,BOS,"$13,300,000"
Cole Ragans,KC,"$4,416,667"
Justin Verlander,DET,"$13,000,000"
Nick Martinez,TB,"$13,000,000"
Pete Fairbanks,MIA,"$13,000,000"
Willi Castro,COL,"$6,400,000"
Brady Singer,CIN,"$12,750,000"
Dustin May,MIL,"$12,500,000"
Taylor Ward,SEA,"$12,175,000"
Luis Arraez,PHI,"$12,000,000"
Anthony Kay,CHW,"$6,000,000"
Yandy Diaz,TB,"$12,000,000"
Travis d'Arnaud,LAA,"$6,000,000"
Luis Torrens,NYM,"$5,750,000"
Jose Trevino,CIN,"$5,750,000"
Carson Kelly,CHC,"$5,750,000"
Vinnie Pasquantino,KC,"$5,550,000"
Jesus Luzardo,PHI,"$11,000,000"
Kenley Jansen,DET,"$11,000,000"
Logan Gilbert,SEA,"$10,927,000"
Daulton Varsho,HOU,"$10,750,000"
Jazz Chisholm,NYY,"$10,200,000"
Alec Bohm,PHI,"$10,200,000"
Max Muncy,LAD,"$10,000,000"
Tyler Mahle,ATL,"$10,000,000"
Zach Eflin,BAL,"$10,000,000"
Adolis Garcia,PHI,"$10,000,000"
Andrew Kittredge,BAL,"$10,000,000"
Victor Robles,SEA,"$4,875,000"
Jeremy Pena,HOU,"$9,475,000"
William Contreras,MIL,"$9,400,000"
Isaac Paredes,HOU,"$9,350,000"
David Bednar,NYY,"$9,000,000"
Gunnar Henderson,BAL,"$8,500,000"
Drew Rasmussen,TB,"$4,250,000"
David Peterson,CHC,"$8,100,000"
Michael Lorenzen,COL,"$8,000,000"
Jonathan India,KC,"$8,000,000"
Gregory Soto,PIT,"$7,750,000"
Steven Kwan,CLE,"$7,725,000"
Jarren Duran,BOS,"$7,700,000"
Andrew Vaughn,MIL,"$7,650,000"
Yennier Cano,BAL,"$3,750,000"
Jhoan Duran,PHI,"$7,500,000"
Michael Soroka,ARI,"$7,500,000"
Andres Munoz,SEA,"$1,875,000"
Adley Rutschman,BOS,"$7,250,000"
Josh Bell,MIN,"$7,000,000"
Drew Anderson,DET,"$7,000,000"
Cedric Mullins,TB,"$7,000,000"
Luis Garcia,NYY,"$6,875,000"
Tyler Stephenson,CIN,"$6,800,000"
Jesus Sanchez,TOR,"$6,800,000"
Ryan Mountcastle,BAL,"$6,787,000"
Justin Steele,CHC,"$6,775,000"
Ryan Jeffers,MIN,"$6,700,000"
Jason Adam,SD,"$6,675,000"
George Kirby,SEA,"$6,550,000"
Evan Phillips,LAD,"$6,500,000"
Pierce Johnson,CIN,"$6,500,000"
Colin Rea,CHC,"$6,500,000"
Joe Ryan,MIN,"$6,200,000"
Trevor Rogers,BAL,"$6,200,000"
Kris Bubic,LAD,"$6,150,000"
Casey Mize,SD,"$6,150,000"
Camilo Doval,PIT,"$6,100,000"
Mauricio Dubon,ATL,"$6,100,000"
Jose Quintana,COL,"$6,000,000"
Isiah Kiner-Falefa,BOS,"$6,000,000"
Hunter Harvey,CHC,"$6,000,000"
Bryson Stott,PHI,"$5,900,000"
Bryan Abreu,HOU,"$5,850,000"
Brendan Donovan,SEA,"$5,800,000"
Dean Kremer,MIN,"$5,750,000"
Hunter Brown,HOU,"$5,710,000"
MacKenzie Gore,TEX,"$5,600,000"
Gavin Lux,TB,"$5,525,000"
Shawn Armstrong,CLE,"$5,500,000"
Foster Griffin,CLE,"$5,500,000"
Miguel Rojas,LAD,"$5,500,000"
Lars Nootbaar,ARI,"$5,250,000"
Shea Langeliers,ATH,"$5,250,000"
Lane Thomas,ATL,"$5,250,000"
Jo Adell,CLE,"$5,200,000"
Brandon Marsh,PHI,"$5,200,000"
Bailey Ober,MIN,"$5,200,000"
Tomoyuki Sugano,COL,"$5,100,000"
Riley Greene,DET,"$5,000,000"
Kirby Yates,PIT,"$5,000,000"
Nick Lodolo,CIN,"$4,725,000"
Trevor Megill,MIL,"$4,700,000"
Ernie Clement,TOR,"$4,600,000"
Enrique Hernandez,LAD,"$4,500,000"
Yainer Diaz,HOU,"$4,500,000"
Gavin Sheets,SD,"$4,500,000"
Sean Newcomb,CHW,"$4,500,000"
Caleb Ferguson,STL,"$4,500,000"
Caleb Thielbar,CHC,"$4,500,000"
Clarke Schmidt,NYY,"$4,500,000"
Trevor Larnach,MIN,"$4,475,000"
Edward Cabrera,CHC,"$4,450,000"
Eric Lauer,LAD,"$4,400,000"
Edmundo Sosa,PHI,"$4,400,000"
JoJo Romero,MIL,"$4,260,000"
Tyler Kinley,ATL,"$4,250,000"
CJ Abrams,WSH,"$4,200,000"
Zach McKinstry,DET,"$4,200,000"
Tanner Houck,BOS,"$4,150,000"
Zach Neto,LAA,"$4,150,000"
Brice Turang,MIL,"$4,150,000"
Spencer Torkelson,DET,"$4,075,000"
Paul Goldschmidt,NYY,"$4,000,000"
Miguel Andujar,SD,"$4,000,000"
Yoan Moncada,LAA,"$4,000,000"
Jake Junis,TEX,"$4,000,000"
Mason Miller,SD,"$4,000,000"
Spencer Steer,CIN,"$4,000,000"
Andre Pallante,STL,"$4,000,000"
Mickey Moniak,COL,"$4,000,000"
Austin Hedges,CLE,"$4,000,000"
Ramon Laureano,SD,"$4,000,000"
Will Vest,DET,"$3,950,000"
Ryan Thompson,ARI,"$3,950,000"
Adrian Morejon,SD,"$3,900,000"
T.J. Friedl,CIN,"$3,800,000"
Tyrone Taylor,CHC,"$3,800,000"
Hoby Milner,CHC,"$3,750,000"
John Schreiber,KC,"$3,715,000"
Shane McClanahan,TB,"$3,600,000"
Griffin Jax,TB,"$3,565,000"
Kyle Bradish,BAL,"$3,550,000"
Martin Perez,ATL,"$3,500,000"
Ryne Stanek,STL,"$3,500,000"
Alec Burleson,STL,"$3,300,000"
Oneil Cruz,PIT,"$3,300,000"
Kerry Carpenter,DET,"$3,275,000"
Matt Vierling,DET,"$3,255,000"
Josh H. Smith,TOR,"$3,225,000"
Jake Burger,TEX,"$3,200,000"
A.J. Puk,ARI,"$3,100,000"
Brenton Doyle,CHW,"$3,100,000"
Ryan Pepiot,TB,"$3,025,000"
Lucas Giolito,SD,"$3,000,000"
Max Scherzer,TOR,"$3,000,000"
Ryne Nelson,ARI,"$3,000,000"
Jake Fraley,TB,"$3,000,000"
Keegan Akin,BAL,"$2,975,000"
Jose Soriano,TOR,"$2,900,000"
Josh Jung,TEX,"$2,900,000"
Royce Lewis,MIN,"$2,850,000"
Mark Leiter Jr.,ATH,"$2,850,000"
Tim Hill,NYY,"$2,850,000"
Anthony Bender,MIA,"$2,810,000"
Jake Irvin,WSH,"$2,800,000"
Brusdar Graterol,LAD,"$2,800,000"
Kutter Crawford,BOS,"$2,750,000"
James McCann,ARI,"$2,750,000"
Kevin Ginkel,ARI,"$2,725,000"
Kyle Isbel,KC,"$2,700,000"
Jake Bauers,MIL,"$2,700,000"
Reid Detmers,LAA,"$2,625,000"
Josh Lowe,LAA,"$2,600,000"
Gabriel Moreno,ARI,"$2,550,000"
Nick Fortes,TB,"$2,535,000"
Joey Bart,CHW,"$2,530,000"
Griffin Canning,SD,"$2,500,000"
Shelby Miller,CHC,"$1,250,000"
Tylor Megill,NYM,"$2,500,000"
Amed Rosario,NYY,"$2,500,000"
Ryan Yarbrough,NYY,"$2,500,000"
Bryce Miller,SEA,"$2,452,500"
Tyler Wells,TB,"$2,450,000"
Ryan Feltner,COL,"$2,450,000"
Francisco Alvarez,NYM,"$2,400,000"
Garrett Cleavinger,TB,"$2,400,000"
Brock Burke,CIN,"$2,325,000"
Steven Okert,HOU,"$2,325,000"
Matt McLain,CIN,"$2,300,000"
Luis Torrens,NYM,"$2,275,000"
Matthew Liberatore,STL,"$2,260,000"
Miles Mikolas,WSH,"$2,250,000"
Felix Bautista,BAL,"$2,250,000"
Dylan Lee,ATL,"$2,200,000"
Gabe Speier,SEA,"$2,125,000"
Freddy Fermin,SD,"$2,100,000"
Luke Raley,SEA,"$2,050,000"
Michael Conforto,CHC,"$2,000,000"
Ramon Urias,STL,"$2,000,000"
Taylor Rogers,MIN,"$2,000,000"
Jose Caballero,NYY,"$2,000,000"
Paul Blackburn,NYY,"$2,000,000"
Jason Foley,SF,"$2,000,000"
Leody Taveras,BAL,"$2,000,000"
Nick Mears,KC,"$1,900,000"
Brooks Raley,PHI,"$1,850,000"
JT Brubaker,SF,"$1,820,000"
Calvin Faucher,MIA,"$1,800,000"
Javier Assad,CHC,"$1,800,000"
Tony Santillan,CIN,"$1,800,000"
Adam Frazier,LAA,"$1,750,000"
Tim Mayza,PHI,"$1,750,000"
Nathaniel Lowe,CLE,"$1,750,000"
Gary Sanchez,MIL,"$1,750,000"
Graham Ashcraft,CIN,"$1,750,000"
Triston Casas,BOS,"$1,610,000"
Jose Siri,LAA,"$1,600,000"
Jalen Beeks,TEX,"$1,600,000"
Alex Call,LAD,"$1,600,000"
Enyel De Los Santos,HOU,"$1,600,000"
Tyler Holton,DET,"$1,575,000"
Michael Massey,KC,"$1,570,000"
Taylor Clarke,ARI,"$1,550,000"
Matt Brash,SEA,"$1,550,000"
Jimmy Herget,COL,"$1,550,000"
Johan Oviedo,BOS,"$1,550,000"
Edwin Uceta,TB,"$1,525,000"
Jake McCarthy,COL,"$1,525,000"
Tyler Freeman,COL,"$1,525,000"
LaMonte Wade Jr.,HOU,"$1,500,000"
Burch Smith,DET,"$1,500,000"
Peter Lambert,HOU,"$1,500,000"
Rhys Hoskins,CLE,"$1,500,000"
Jonathan Loaisiga,ARI,"$1,500,000"
Walker Buehler,SD,"$1,500,000"
John King,MIA,"$1,500,000"
Erick Fedde,CHW,"$1,500,000"
Colin Holderman,CLE,"$1,500,000"
Jacob Webb,CHC,"$1,500,000"
Fernando Cruz,NYY,"$1,450,000"
Nick Allen,HOU,"$1,400,000"
JJ Bleday,CIN,"$1,400,000"
Sam Hentges,SF,"$1,400,000"
Taylor Walls,TB,"$1,400,000"
Ezequiel Duran,TEX,"$1,375,000"
Connor Wong,BOS,"$1,375,000"
Ty France,SD,"$1,350,000"
Ryan Weathers,NYY,"$1,350,000"
Alex Jackson,MIN,"$1,350,000"
Josiah Gray,WSH,"$1,350,000"
Nate Pearson,KC,"$1,350,000"
Enmanuel De Jesus,DET,"$1,300,000"
Brock Stewart,LAD,"$1,300,000"
Reed Garrett,NYM,"$1,300,000"
Bryan Baker,TB,"$1,275,000"
Cal Quantrill,TEX,"$1,250,000"
Dominic Smith,ATL,"$1,250,000"
Ildemaro Vargas,ARI,"$1,250,000"
Jordan Montgomery,TEX,"$1,250,000"
Jonah Heim,ATH,"$1,250,000"
Brent Suter,ATL,"$1,250,000"
Akil Baddoo,MIL,"$1,250,000"
Ben Rortvedt,LAD,"$1,250,000"
Tanner Banks,PHI,"$1,200,000"
Tyler Austin,CHC,"$1,200,000"
Kyle Hart,SD,"$1,200,000"
Jared Young,NYM,"$1,150,000"
Tyler Alexander,TEX,"$1,125,000"
Cole Sands,MIN,"$1,100,000"
Angel Zerpa,MIL,"$1,095,000"
Paul Skenes,PIT,"$1,085,000"
Huascar Brazoban,CHW,"$1,050,000"
Cole Sulser,TB,"$1,050,000"
Daniel Lynch,KC,"$1,025,000"
Trent Thornton,CHC,"$1,000,000"
Max Kranick,WSH,"$1,000,000"
Tayler Saucedo,LAA,"$1,000,000"
Trevor Richards,CHW,"$1,000,000"
Joe Mantiply,TOR,"$1,000,000"
Patrick Corbin,TOR,"$1,000,000"
Christian Vazquez,HOU,"$1,000,000"
Starling Marte,KC,"$1,000,000"
Matt Festa,CLE,"$1,000,000"
Richard Lovelady,WSH,"$1,000,000"
Max Meyer,MIA,"$980,000"
Jake Bird,WSH,"$975,000"
Hayden Wesneski,HOU,"$975,000"
Garrett Stubbs,PHI,"$975,000"
Jake Cousins,LAD,"$950,000"
Garrett Mitchell,MIL,"$950,000"
Ryan Vilade,TB,"$950,000"
Richard Palacios,TB,"$945,000"
Brennan Bernardino,COL,"$925,000"
Kevin Kelly,TB,"$925,000"
Danny Young,ATL,"$925,000"
Eduard Bazardo,SEA,"$923,000"
Bennett Sousa,HOU,"$910,000"
Rob Zastryzny,MIL,"$902,500"
Luis Campusano,SD,"$900,000"
Taylor Trammell,HOU,"$900,000"
Derek Hill,PHI,"$900,000"
Eli White,BOS,"$900,000"
Jose Suarez,ATH,"$900,000"
Joey Wentz,ATL,"$900,000"
Alex Lange,KC,"$900,000"
Tyler Gilbert,CHW,"$900,000"
Rico Garcia,BAL,"$900,000"
Rowan Wick,SF,"$880,000"
Sam Moll,CIN,"$875,000"
Cade Cavalli,WSH,"$870,000"
Austin Wells,NYY,"$866,200"
Rafael Marchan,PHI,"$860,000"
Michael Busch,CHC,"$860,000"
Seth Martinez,BOS,"$850,000"
Cristian Pache,NYM,"$850,000"
Austin Wynns,TEX,"$850,000"
Bryan De La Cruz,PHI,"$850,000"
Jordan Romano,COL,"$850,000"
Luke Maile,KC,"$850,000"
Jose Cuas,KC,"$850,000"
Luis Urias,TOR,"$850,000"
Jacob Waguespack,DET,"$850,000"
Josh Rojas,KC,"$850,000"
Tejay Antone,CIN,"$850,000"
Michael Grove,TB,"$850,000"
Caleb Kilian,PHI,"$850,000"
Justin Bruihl,STL,"$850,000"
Matt Gage,SF,"$850,000"
Justin Hagenman,NYM,"$850,000"
Brandon Walter,HOU,"$850,000"
Ben Rice,NYY,"$845,800"
Luis Medina,ATH,"$835,000"
Dillon Dingler,DET,"$834,900"
Jahmai Jones,BOS,"$832,200"
Bryan Woo,SEA,"$831,600"
Will Warren,NYY,"$826,625"
Ken Waldichuk,WSH,"$825,000"
Yohan Ramirez,PIT,"$825,000"
Cade Smith,CLE,"$824,600"
Andres Chaparro,WSH,"$822,600"
Gavin Williams,CLE,"$822,200"
Louie Varland,TOR,"$821,500"
Christian Encarnacion-Strand,BAL,"$820,000"
Ali Sanchez,NYY,"$820,000"
Tayron Guerrero,BOS,"$820,000"
Albert Suarez,BAL,"$820,000"
Dylan Crews,WSH,"$820,000"
Mitchell Parker,WSH,"$820,000"
Orlando Ribalta,WSH,"$820,000"
Endy Rodriguez,PIT,"$820,000"
Ryan Kreidler,MIN,"$820,000"
Johan Rojas,PHI,"$820,000"
Austin Warren,NYM,"$820,000"
Zebby Matthews,MIN,"$820,000"
Robert Gasser,MIL,"$820,000"
Spencer Arrighetti,TOR,"$820,000"
Keider Montero,DET,"$820,000"
Wenceel Perez,DET,"$820,000"
Zack Kelly,BOS,"$820,000"
Zack Gelof,ATH,"$820,000"
Drey Jameson,ARI,"$820,000"
Jared Triolo,PIT,"$818,900"
Reese Olson,DET,"$818,100"
Cade Horton,CHC,"$817,500"
Mark Vientos,NYM,"$813,750"
Brendon Little,TOR,"$811,900"
Brett Baty,NYM,"$811,500"
Addison Barger,TOR,"$811,000"
Otto Lopez,MIA,"$810,500"
James McArthur,KC,"$810,000"
Erik Miller,BOS,"$810,000"
Casey Schmitt,SF,"$810,000"
Patrick Bailey,CLE,"$810,000"
Heliot Ramos,NYY,"$810,000"
Gavin Stone,LAD,"$810,000"
Jack Dreyer,LAD,"$810,000"
Ben Joyce,LAA,"$810,000"
Oswald Peraza,LAA,"$810,000"
Nolan Schanuel,LAA,"$810,000"
Hunter Goodman,COL,"$810,000"
Wilyer Abreu,BOS,"$810,000"
Grayson Rodriguez,LAA,"$810,000"
Cam Smith,HOU,"$809,900"
Bowden Francis,TOR,"$809,800"
Tommy Nance,MIN,"$809,700"
Jeremiah Estrada,SD,"$809,500"
Hunter Gaddis,CLE,"$809,500"
Ronny Henriquez,MIA,"$809,000"
